"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"MT-CYB.3","MT-CYB",0,0,-148.310714668744,"3"
"MT-ND4.3","MT-ND4",0,0,-164.180294123684,"3"
"MT-ND3.3","MT-ND3",0,0,-229.284750909608,"3"
"MT-ATP6.3","MT-ATP6",0,0,-246.387792800508,"3"
"MT-CO3.3","MT-CO3",0,0,-361.646462470563,"3"
"MT-CO2.3","MT-CO2",0,0,-379.141921373312,"3"
"MT-ND1.3","MT-ND1",1.76819323462019e-283,3.25011598455538e-279,-105.010733071083,"3"
"MT-CO1.3","MT-CO1",5.47072386459974e-283,1.00557375355208e-278,-371.928446190839,"3"
"MT-ND2.3","MT-ND2",1.05716491855679e-271,1.94317483679924e-267,-99.2310800256103,"3"
"MT-RNR2.3","MT-RNR2",3.95343797459865e-256,7.26681434110977e-252,-Inf,"3"
"B2M.3","B2M",2.50058110561053e-250,4.59631813022271e-246,-240.826315860053,"3"
"HLA-B.3","HLA-B",2.64734025494733e-248,4.86607612261868e-244,-58.7935288257083,"3"
"HLA-A.3","HLA-A",1.86680345131796e-240,3.43137142386754e-236,-54.5355214094788,"3"
"MT-ND5.3","MT-ND5",8.08847874723591e-223,1.48674327852943e-218,-36.5325333732523,"3"
"HLA-C.3","HLA-C",2.5231138599056e-218,4.63773558589249e-214,-58.1937736935723,"3"
"ACTB.3","ACTB",2.0113989840143e-217,3.69715247251668e-213,-581.023568606925,"3"
"TMSB4X.3","TMSB4X",5.96477082000317e-209,1.09638452442478e-204,-413.76528428785,"3"
"EEF1A1.3","EEF1A1",5.80525757319207e-203,1.06706439452843e-198,-248.639777843632,"3"
"RPLP1.3","RPLP1",9.64521271019228e-202,1.77288654826044e-197,-197.324903230986,"3"
"MT-RNR1.3","MT-RNR1",1.54970348869215e-199,2.84850998256504e-195,-206.018516460689,"3"
"RPL13.3","RPL13",3.60962969889239e-198,6.6348603495341e-194,-144.738764354076,"3"
"HFM1.3","HFM1",3.35353632955069e-197,6.16413512734713e-193,-29.888488337355,"3"
"RPL13A.3","RPL13A",7.77635252145848e-195,1.42937135696928e-190,-69.8135087271451,"3"
"RPS18.3","RPS18",1.15462373355663e-191,2.12231388465045e-187,-122.007183074509,"3"
"RPL28.3","RPL28",1.16217227763225e-191,2.13618886351584e-187,-142.5952003408,"3"
"RPS19.3","RPS19",4.64277134229905e-191,8.53387800427989e-187,-126.341789489643,"3"
"RPS6.3","RPS6",7.17076517103687e-191,1.31805834608829e-186,-93.57025304542,"3"
"RPL4.3","RPL4",1.32885461212041e-183,2.44256766253852e-179,-29.1689513643809,"3"
"TPT1.3","TPT1",3.64688506189955e-182,6.70333943227756e-178,-179.784822557375,"3"
"RPS2.3","RPS2",1.88406167244029e-181,3.4630937601125e-177,-117.83769037494,"3"
"OOEP.3","OOEP",1.92366519444035e-181,3.53588899390081e-177,-100.706757092263,"3"
"RPL3.3","RPL3",2.78463783714794e-181,5.11844280846163e-177,-68.1068184230589,"3"
"RPS4X.3","RPS4X",4.59208610706527e-181,8.44071347339667e-177,-129.466743539186,"3"
"RPL34.3","RPL34",7.16279545083785e-180,1.3165934318185e-175,-67.8450261420618,"3"
"HLA-E.3","HLA-E",1.45991917765005e-178,2.68347744043856e-174,-29.0982007793981,"3"
"RPL19.3","RPL19",4.40208280280077e-178,8.0914683998281e-174,-82.0868364636516,"3"
"RPS29.3","RPS29",4.70997883613162e-178,8.65741209869352e-174,-116.50455159461,"3"
"RPLP2.3","RPLP2",6.16376786605039e-178,1.13296217145872e-173,-42.9182111931114,"3"
"RPL37.3","RPL37",1.66088269451522e-177,3.05286848078843e-173,-63.9437712323601,"3"
"RPL10.3","RPL10",3.02453389801404e-176,5.5593957579396e-172,-287.910816914288,"3"
"RPL30.3","RPL30",2.46975882681631e-175,4.53966369957106e-171,-83.9497601668158,"3"
"TMSB10.3","TMSB10",2.21143384360712e-174,4.06483654793426e-170,-506.026869196263,"3"
"RPL41.3","RPL41",2.90246354310773e-174,5.33501823858632e-170,-194.396614324139,"3"
"RPS8.3","RPS8",2.5576385164656e-173,4.70119535711543e-169,-88.8273460942999,"3"
"LTB.2","LTB",3.23046371325966e-173,5.93791535134258e-169,-76.1746024246042,"3"
"RPL37A.3","RPL37A",4.43257553475942e-172,8.14751709044129e-168,-44.3402609225029,"3"
"RPS23.3","RPS23",1.79892243474228e-171,3.30659932729978e-167,-99.1299573207293,"3"
"RPL11.3","RPL11",2.12096856275629e-171,3.89855231520233e-167,-93.4573893491111,"3"
"RPL27A.3","RPL27A",5.29611307467599e-171,9.73478544256194e-167,-55.6220706689317,"3"
"RPL32.3","RPL32",6.08036352703598e-171,1.11763161990448e-166,-104.909206840242,"3"
"RPS12.3","RPS12",7.25338691608614e-169,1.33324504904579e-164,-96.371796036152,"3"
"CD2.3","CD2",1.42131200677947e-168,2.61251359966135e-164,-17.6224471952113,"3"
"RPS15.3","RPS15",4.42630666362669e-168,8.13599427841222e-164,-89.1257861988034,"3"
"RPS11.3","RPS11",8.96142512412884e-168,1.64719955206612e-163,-49.4335166946022,"3"
"SPOCK2.3","SPOCK2",4.00165544555539e-167,7.35544287447536e-163,-5.85260905745747,"3"
"RPS27A.3","RPS27A",2.3769373463503e-166,4.36904853632649e-162,-144.293017627761,"3"
"RPL36.3","RPL36",3.94597187861287e-166,7.25309091007832e-162,-91.8908574811067,"3"
"TRAC.3","TRAC",6.63855477287505e-166,1.22023275280216e-161,-6.9262804475758,"3"
"APOO.3","APOO",9.13910888238645e-166,1.67985960367145e-161,-70.679726686916,"3"
"RPL23A.3","RPL23A",3.10317070466759e-165,5.70393807224949e-161,-61.1946027045389,"3"
"RPL6.3","RPL6",1.0427093126314e-163,1.91660398754778e-159,-70.9766040627974,"3"
"MT-ND4L.3","MT-ND4L",1.16965000977704e-163,2.14993368297117e-159,-6.07988570984219,"3"
"RPS3.3","RPS3",2.53195304502615e-163,4.65398289206256e-159,-85.2915146565977,"3"
"CD3E.3","CD3E",3.28098786789423e-163,6.03078379997639e-159,-7.01102486179808,"3"
"RPL29.3","RPL29",4.95436766871386e-163,9.10662321186296e-159,-63.674611637045,"3"
"RPS25.3","RPS25",1.36414312784978e-162,2.50743148330068e-158,-54.830830472996,"3"
"RPS14.3","RPS14",7.08370801683026e-161,1.30205637057357e-156,-79.9830034117113,"3"
"RPL15.3","RPL15",2.57539645780716e-160,4.73383622909533e-156,-80.88657201064,"3"
"RPS9.3","RPS9",6.50415761509446e-160,1.19552921123051e-155,-79.1568095441366,"3"
"RPL38.3","RPL38",2.19821824565685e-159,4.04054495734185e-155,-32.8058886999917,"3"
"RPL18.3","RPL18",6.01983790917925e-158,1.10650640608624e-153,-58.5407477670546,"3"
"TRBC2.2","TRBC2",5.6636571160802e-157,1.0410368145067e-152,-25.7866004005225,"3"
"STEAP1B.3","STEAP1B",2.19676108085362e-155,4.03786654271705e-151,-38.6605369548568,"3"
"RPS24.3","RPS24",8.60958039877146e-155,1.58252697309818e-150,-114.262226941966,"3"
"RPL35.3","RPL35",1.01722242408245e-154,1.86975653770595e-150,-44.914159372761,"3"
"RPL14.3","RPL14",1.5537033321409e-154,2.85586209480818e-150,-59.1711530255474,"3"
"RPS15A.3","RPS15A",2.43237819438223e-153,4.47095435909399e-149,-60.3593979278249,"3"
"BCL11B.3","BCL11B",2.8715391800276e-153,5.27817616680873e-149,-5.32728162413191,"3"
"BAIAP2L1.3","BAIAP2L1",1.46535139095754e-151,2.69346239171905e-147,-82.9951971596471,"3"
"PTMA.3","PTMA",1.62731661291457e-149,2.99117066619827e-145,-288.251456098661,"3"
"RPL8.3","RPL8",8.53767768060973e-149,1.56931053447287e-144,-40.7117786477773,"3"
"RPSA.3","RPSA",1.81886656072574e-148,3.34325862526999e-144,-54.975905707951,"3"
"MT-ATP8.3","MT-ATP8",1.50308874442142e-147,2.76282742112101e-143,-4.39475714564581,"3"
"RPS7.3","RPS7",5.47232289833832e-147,1.00586767194357e-142,-58.6507734484393,"3"
"PTPRC.3","PTPRC",5.94532492809016e-147,1.09281017503225e-142,11.7583379558843,"3"
"RPS20.3","RPS20",4.06025517088381e-146,7.46315502960154e-142,-31.1853002135705,"3"
"RPS16.3","RPS16",1.7684790357673e-145,3.25064131564387e-141,-24.5789795420222,"3"
"IL7R.3","IL7R",5.05947139096954e-143,9.29981436374112e-139,-9.81336048439288,"3"
"RPL35A.3","RPL35A",5.75702806498853e-143,1.05819932862554e-138,-126.70830970121,"3"
"UBA52.3","UBA52",8.78260272674726e-143,1.61433020720341e-138,-36.983392370922,"3"
"CD247.3","CD247",1.82104284321291e-142,3.34725885010965e-138,-17.0601326124595,"3"
"TCF7.3","TCF7",5.28360377577558e-142,9.71179210025309e-138,-4.24868114515905,"3"
"SEPT6.3","SEPT6",4.45026454700973e-140,8.18003126385858e-136,-11.1085761615225,"3"
"RPS13.3","RPS13",1.36808528342318e-139,2.51467755946014e-135,-56.5898720709735,"3"
"RPL7A.3","RPL7A",1.49105976631377e-139,2.74071695646133e-135,-74.1900815374836,"3"
"CD52.3","CD52",4.87792655467191e-138,8.96611680014244e-134,-16.9916257503373,"3"
"SLC38A1.3","SLC38A1",5.24641672357401e-138,9.64343857960138e-134,-5.45165844332742,"3"
"ETS1.3","ETS1",4.39191995883189e-137,8.07278807632889e-133,-17.0200503289489,"3"
"SKAP1.3","SKAP1",7.8677776302125e-136,1.44617620620936e-131,-20.1170806018954,"3"
"ACTG1.3","ACTG1",9.16602729959287e-136,1.68480747793816e-131,-94.8074003636177,"3"
"FAU.3","FAU",2.38172115165466e-135,4.37784164885643e-131,-35.787833345187,"3"
"RPS27.3","RPS27",3.57447664385559e-135,6.57024551907096e-131,-56.6691750775275,"3"
"CLEC2D.3","CLEC2D",2.42639456819151e-134,4.45995585579282e-130,3.17212460735433,"3"
"RPL7.3","RPL7",1.1254441521701e-133,2.06867889610386e-129,-35.8503459912283,"3"
"CD3D.3","CD3D",3.72877918936543e-133,6.85386902797259e-129,-10.3031026594132,"3"
"RPS3A.3","RPS3A",3.3389299963764e-130,6.13728722633947e-126,-40.443092664913,"3"
"TXNRD1.3","TXNRD1",6.10793135737781e-130,1.12269886279961e-125,-74.2284031431465,"3"
"LRMDA.3","LRMDA",2.28709236803704e-129,4.20390448168888e-125,-218.048797708243,"3"
"RPLP0.3","RPLP0",3.99893796708751e-129,7.35044787730356e-125,-56.9613660722684,"3"
"ITK.3","ITK",4.10308248282051e-128,7.54187591167238e-124,-8.36879014130744,"3"
"TRIO.3","TRIO",1.13145737016334e-127,2.07973179209724e-123,-326.702057197829,"3"
"RPL5.3","RPL5",7.23235190954251e-127,1.32937860449301e-122,-37.7417490497399,"3"
"IKZF1.3","IKZF1",6.44676800681679e-125,1.18498042733299e-120,-9.83802152665588,"3"
"CORO1A.2","CORO1A",7.1885743379688e-125,1.32133184906204e-120,-20.2569917533913,"3"
"PLEKHA7.3","PLEKHA7",1.88050701504596e-124,3.45655994435599e-120,-41.0098284966003,"3"
"CCND3.3","CCND3",2.06463769946489e-124,3.79501055538641e-120,-35.9113957379587,"3"
"SARAF.3","SARAF",8.67435020047096e-124,1.59443231034857e-119,-13.9027216459878,"3"
"CD96.3","CD96",5.02266031808778e-122,9.23215193067716e-118,-22.7974950581269,"3"
"ARHGAP15.3","ARHGAP15",1.79200640929368e-120,3.2938869809227e-116,-32.7393217157504,"3"
"LCP1.2","LCP1",2.33925624484283e-120,4.29978690364561e-116,-45.8394301318297,"3"
"LAPTM5.3","LAPTM5",3.68223785957831e-120,6.7683214096909e-116,-11.4489521823096,"3"
"RPS17.3","RPS17",7.1609609063602e-120,1.31625622419807e-115,-9.71380349294435,"3"
"CD6.3","CD6",1.73106944721548e-119,3.18187875092677e-115,2.58555817950772,"3"
"RPL27.3","RPL27",6.80606388987658e-119,1.25102260359821e-114,-34.0230061969147,"3"
"SEMA4D.3","SEMA4D",1.31461939970339e-118,2.41640191859479e-114,-6.27753994077627,"3"
"ITGB2.2","ITGB2",5.98789625018157e-118,1.10063520974587e-113,-1.19106784787374,"3"
"EEF2.3","EEF2",1.06545723530767e-117,1.95841694421904e-113,-11.2677971439752,"3"
"LCK.3","LCK",1.61878740989882e-117,2.97549313813502e-113,-6.54001749488355,"3"
"RIPOR2.3","RIPOR2",2.40700940771892e-117,4.42432399232815e-113,-37.2256857311286,"3"
"ARHGDIB.2","ARHGDIB",1.48954889051079e-116,2.73793981564788e-112,-29.9241113964674,"3"
