"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADAMTS16",0,2.52872396769919,0.668,0.06,0
"CREB5",0,2.49466170602817,0.946,0.397,0
"KCNB2",0,2.77202489284098,0.694,0.076,0
"STK32B",2.11648258094468e-304,2.20006446064049,0.705,0.107,6.55199512583043e-300
"FBN1",5.1853330032523e-282,1.91231746620687,0.994,0.837,1.60522353781682e-277
"SDK1",1.70501359720894e-281,2.30324105815108,0.974,0.646,5.27821059287971e-277
"MFAP5",2.02151933942533e-276,2.01823857121643,0.846,0.241,6.25801741905898e-272
"SEMA3C",2.84640205709146e-250,2.30900901596567,0.921,0.485,8.81160684813802e-246
"FHOD3",6.62096792292549e-245,2.08607407988595,0.748,0.184,2.04965303990004e-240
"GUCY1A2",9.47943297843506e-241,1.74447249043236,0.482,0.04,2.93454806713414e-236
"HUNK",2.78892699157865e-235,1.66036911869493,0.548,0.068,8.63368128783003e-231
"CAMK1D",5.12320057027818e-212,1.84663649403617,0.845,0.329,1.58598920054101e-207
"DACT2",9.22569843766563e-209,1.24596805436099,0.346,0.011,2.85599946534815e-204
"PXDNL",6.39643392692205e-204,1.95745188661941,0.687,0.178,1.98014405075726e-199
"CNTN4",1.25869469769445e-192,1.80251653567227,0.847,0.341,3.89654117565271e-188
"SMURF2",1.69604589068645e-192,1.97619027644195,0.873,0.468,5.25044926379804e-188
"GALNT17",1.94977311424729e-191,2.04852446685679,0.589,0.124,6.03591262977533e-187
"MIR4435-2HG",2.12198511982618e-190,1.63494245870292,0.595,0.123,6.5690293354459e-186
"CD55",2.69326228176723e-182,2.20364059528733,0.646,0.18,8.33753204566683e-178
"LINC01133",3.77529379718814e-181,1.45608363207009,0.518,0.09,1.16871770079553e-176
"GRK5",1.37779723768888e-180,1.74534390232682,0.899,0.504,4.26524690871346e-176
"ADGRD1",2.47620674694348e-166,1.64796536377,0.739,0.266,7.66559322651294e-162
"SPSB4",1.10545420956488e-164,1.17290136863897,0.405,0.048,3.42215459655001e-160
"NTM",7.50064706605818e-164,1.64499379897774,0.769,0.301,2.32197531223963e-159
"TBC1D12",2.05223343296041e-163,1.50096608067718,0.736,0.272,6.35309903841553e-159
"CYTOR",1.48289627242884e-161,1.32174377720257,0.471,0.081,4.59060199055796e-157
"TRIO",1.84316520532377e-161,1.3488931109944,0.949,0.779,5.70588652612079e-157
"ABCA10",3.4671896097995e-161,-1.57668665217132,0.775,0.939,1.07333788750563e-156
"ITGA11",3.43355075363094e-160,1.38451145558379,0.823,0.351,1.06292430680153e-155
"LMX1A",3.5080914414119e-155,1.03891754566652,0.3,0.018,1.08599986751788e-150
"NOVA2",7.52137026448797e-152,1.00466297533181,0.347,0.033,2.32839059277754e-147
"SHISA6",1.14395567415765e-148,1.51691991043591,0.408,0.062,3.54134358048983e-144
"PCOLCE2",2.55613042182014e-143,1.52991401763314,0.658,0.223,7.91301294682862e-139
"ADAMTS6",7.87225703619542e-143,1.98604108257579,0.482,0.107,2.43701461069502e-138
"MEG3",1.34782040489995e-139,1.18620373121026,0.939,0.687,4.17244762744877e-135
"ADAMTS5",2.66973679072851e-136,1.48135403135364,0.661,0.231,8.26470418305826e-132
"MEG8",1.56141520400682e-135,1.46860836810187,0.884,0.578,4.8336730470439e-131
"COL15A1",2.20366746184405e-133,-2.24362169660854,0.254,0.685,6.82189336163061e-129
"FRMD4A",8.82346147147172e-131,1.28709580725164,0.89,0.615,2.7314789677235e-126
"C17orf58",1.06408574404687e-129,0.905618268096606,0.328,0.039,3.2940902378459e-125
"CHST15",1.71143981673136e-129,1.13778377506332,0.379,0.059,5.29810424065529e-125
"NHSL1",1.10267821604254e-127,1.32173266568976,0.711,0.295,3.41356095340288e-123
"AIF1L",1.49910572880396e-125,1.02306207208191,0.361,0.055,4.64078160465843e-121
"BMPER",5.11702991357262e-124,-2.03000053117896,0.319,0.707,1.58407895034468e-119
"NRP1",4.37529824146003e-122,-1.51266184399568,0.568,0.829,1.35446107660878e-117
"DST",1.42306049024244e-121,0.963006746068512,0.946,0.709,4.40536835964352e-117
"AC004540.1",9.23165973424613e-121,0.980154856902692,0.322,0.042,2.85784490393057e-116
"C7",6.39213840894406e-118,-2.33113877886472,0.212,0.625,1.97881428725681e-113
"TSPAN18",2.44303611558653e-116,1.0688423578268,0.415,0.087,7.56290690302124e-112
"STON2",4.11034350333183e-116,1.13279887310456,0.53,0.151,1.27243903832643e-111
"FSTL1",8.35915763628688e-116,1.12970833632929,0.882,0.557,2.58774442946533e-111
"AC124254.2",2.41130216878888e-114,1.3359612754071,0.377,0.071,7.46466812391972e-110
"DOCK4",5.75186049219107e-113,1.12993407635656,0.944,0.754,1.78060345256759e-108
"PLCB1",3.00168389454822e-111,1.00966462339587,0.951,0.736,9.29231283235292e-107
"PTGIS",9.8530879875048e-111,1.27155089377384,0.823,0.461,3.05022044829186e-106
"STXBP6",3.95725118103913e-109,1.19179636329473,0.48,0.129,1.22504624811428e-104
"NAV2",1.66942897902138e-104,-1.70491469750336,0.424,0.725,5.16805129035649e-100
"ABCA6",1.50373390266577e-103,-1.1283261087707,0.767,0.902,4.65510904248244e-99
"EXT1",5.5140633695932e-103,1.11566899806678,0.932,0.726,1.70698859732497e-98
"BOC",9.04936183602861e-101,-1.41670284718987,0.385,0.722,2.80141094357938e-96
"GHR",9.64309129835173e-101,-1.15757729317415,0.735,0.889,2.98521177323074e-96
"ZBTB7C",3.91241770506733e-100,1.3817910730875,0.498,0.16,1.21116714895769e-95
"AC093425.1",2.2260447792739e-98,0.898050614755091,0.225,0.021,6.8911668231982e-94
"GPR1",4.12507421902104e-97,0.840501359621757,0.249,0.029,1.27699922598234e-92
"ANOS1",6.83107251268716e-96,0.957696386666881,0.298,0.049,2.11469511775256e-91
"AUTS2",8.30767260811071e-93,0.71478055711895,0.978,0.929,2.57180620929283e-88
"VASH2",1.35032959682353e-91,0.818938871807695,0.299,0.053,4.18021533288662e-87
"AGAP1",1.42732894891265e-91,1.04001622637301,0.905,0.681,4.4185822271489e-87
"LRRC8C",2.33735878242659e-90,0.879883351718789,0.322,0.064,7.235761582758e-86
"PROCR",8.75818347804441e-90,1.00326214995227,0.466,0.142,2.71127085929821e-85
"ALDH1A3",9.34806798134138e-89,0.794521891689277,0.205,0.019,2.89388140498385e-84
"TNXB",1.5029543828407e-88,0.793352400789614,0.978,0.806,4.65269588295995e-84
"TRMT9B",1.97421211984215e-88,0.868095980648605,0.371,0.089,6.11156845939533e-84
"CTNNA2",2.90979093833537e-88,1.525440570171,0.271,0.045,9.00783980780482e-84
"KIAA1671",6.00195351787577e-88,1.00236343094512,0.505,0.169,1.8580247505288e-83
"SLC7A14-AS1",1.37303504838386e-87,1.37692917463147,0.47,0.158,4.2505045992819e-83
"EPB41L3",2.80694435351593e-87,1.34710278352359,0.748,0.429,8.68945763517925e-83
"BMP7",6.37925572503297e-87,0.624172222367079,0.164,0.008,1.97482619479846e-82
"FNDC1",4.94400939805134e-86,0.972930067589363,0.28,0.048,1.53051698935475e-81
"TMEM108",2.09267237051179e-83,1.06684547699712,0.348,0.083,6.47828585739336e-79
"ADAMTS2",7.10594922635664e-83,0.935112255819268,0.663,0.308,2.19978870200323e-78
"HMCN2",6.40922981376342e-82,1.08645710141629,0.411,0.122,1.98410527344674e-77
"KANK1",2.34701790664823e-81,1.10677799088155,0.742,0.43,7.26566333361092e-77
"EMILIN2",2.67157891383509e-80,0.850998263007472,0.441,0.137,8.27040684355928e-76
"PDE7A",9.08981869070582e-80,0.939381820457702,0.629,0.279,2.8139351720818e-75
"HRH1",9.46374833458821e-80,1.04974364660792,0.397,0.118,2.92969257193847e-75
"PDE1C",7.52185059693545e-79,0.914809189992977,0.509,0.183,2.32853928929331e-74
"PXN",4.17736360927877e-78,0.927607416632656,0.538,0.212,1.29318645252443e-73
"ADRA1B",4.12855899198232e-77,0.781553234747803,0.293,0.061,1.27807800714797e-72
"DDX60L",6.46189920950467e-77,0.878565508645305,0.447,0.147,2.00041013828636e-72
"GAS7",7.47796663638993e-77,1.02644742039141,0.91,0.73,2.31495413162723e-72
"LHFPL6",1.10554575650281e-76,-1.16197239456005,0.67,0.833,3.42243799840574e-72
"DLGAP4",3.49504648496835e-76,0.92017902827311,0.636,0.293,1.08196154035165e-71
"PRICKLE1",7.69789677034525e-76,-1.5903944925892,0.433,0.68,2.38303790319578e-71
"LINC02802",8.52523726509674e-76,0.699507070486834,0.36,0.095,2.639157700156e-71
"AFAP1L2",9.12877015922843e-76,0.667653201128484,0.234,0.037,2.82599337819235e-71
"ARHGEF10",1.04934056420209e-75,0.874189362491518,0.748,0.414,3.24844358460042e-71
"SCARA5",6.28666285539962e-75,0.874161443997818,0.733,0.381,1.94616222014606e-70
"HDAC7",2.88417886873388e-74,0.876316482484776,0.636,0.296,8.92855252393947e-70
"TRERF1",2.25852043396432e-73,0.854829521917438,0.779,0.456,6.99170170742335e-69
"AC008050.1",4.22278228986333e-73,0.956500924645675,0.399,0.124,1.30724671347299e-68
"PHLPP1",1.30715165793263e-72,1.02493914238059,0.662,0.342,4.04654938746203e-68
"CD70",3.11134840675161e-72,0.478890766716341,0.129,0.005,9.63180126278096e-68
"FGF10",1.48969735544587e-71,-1.7618011522651,0.21,0.524,4.61165610325379e-67
"KCND2",1.91965452529234e-71,-1.22949126677607,0.514,0.759,5.9426745139475e-67
"ARHGAP29",5.30154258156313e-71,0.908794224743569,0.615,0.294,1.6411985369745e-66
"AL359636.2",5.75228871092556e-71,0.557269048520323,0.16,0.014,1.78073601624123e-66
"PSD3",6.8040027564986e-71,0.885884692651894,0.752,0.431,2.10631513332927e-66
"PLXNA2",1.2817432750758e-70,0.862909771541999,0.484,0.182,3.96789265665215e-66
"HECW2",9.36526490761944e-70,0.78037369353415,0.353,0.099,2.89920505745175e-65
"WNT10B",1.03536397909621e-69,0.449433172042505,0.162,0.015,3.20517627008814e-65
"CORO1C",1.29416241327296e-69,0.818027243688186,0.485,0.181,4.0063385827691e-65
"GALR1",4.62985349254946e-69,0.669105784757121,0.211,0.032,1.43326374568854e-64
"APBB1IP",1.3365544632595e-68,0.896491127382304,0.724,0.402,4.13757165191243e-64
"GALNT16",9.87066472057666e-68,0.711912353995386,0.275,0.061,3.05566167754892e-63
"AXL",3.33706275329855e-67,0.883784068138564,0.774,0.463,1.03305451653863e-62
"ADAMTS14",1.46793613616354e-66,0.618304703816472,0.199,0.03,4.54428989672147e-62
"AC022424.1",5.72057489756741e-66,0.355678412118615,0.123,0.006,1.77091837103994e-61
"LTBP1",5.78989334853722e-66,0.973363908026411,0.47,0.177,1.79237728390667e-61
"GFPT2",6.85430014077069e-66,0.918385310833747,0.788,0.482,2.12188569457838e-61
"ABCA8",1.86597900565003e-65,-0.920058625810212,0.836,0.895,5.7765112077908e-61
"TRHDE",3.48565574965443e-65,-1.31747495949504,0.216,0.515,1.07905445042052e-60
