Pathway	Description	pvalue	qvalue	NES	Genes
Notch signaling pathway	Notch signaling pathway	0.001	0.01	1.5	ADAM10,JAG1,MAML3,MAML2
Notch signaling pathway	Notch signaling pathway	0.001	0.01	1.5	ADAM10,JAG1,MAML3,MAML2
Notch signaling pathway	Notch signaling pathway	0.001	0.01	1.5	ADAM10,JAG1,MAML3,MAML2
Notch signaling pathway	Notch signaling pathway	0.001	0.01	1.5	ADAM10,JAG1,MAML3,MAML2
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
cytoskeleton organization	cytoskeleton organization	0.001	0.01	1.5	DST,CAPZB,DIAPH1,TPM1,LIMD1,CDC42BPB,SIPA1L3,FGD5
insulin-like growth factor receptor signaling pathway	insulin-like growth factor receptor signaling pathway	0.001	0.01	1.5	PLCB1,GHR,IGF1
insulin-like growth factor receptor signaling pathway	insulin-like growth factor receptor signaling pathway	0.001	0.01	1.5	PLCB1,GHR,IGF1
insulin-like growth factor receptor signaling pathway	insulin-like growth factor receptor signaling pathway	0.001	0.01	1.5	PLCB1,GHR,IGF1
negative regulation of canonical Wnt signaling pathway	negative regulation of canonical Wnt signaling pathway	0.001	0.01	1.5	GLI3,IGFBP6,STK3,LIMD1,SOX13,KREMEN1,SHISA6,IGFBP4,BICC1,PRICKLE1
