"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:0071560","cellular response to transforming growth factor beta stimulus",4.3829180968919,10,0.0145711049325507,0.00011267028385398,0.0248585830104553,"ZFP36L2, SMAD3, WWOX, TGFBR1","LIMS1, SOX5, SOX6, NR3C1, PDE3A",1,"Representative"
"GO:0006468","protein phosphorylation",2.42136144780883,10,0.0157611693325979,2.04432588921896e-07,0.0096578276259304,"ADAM10, APP, FER, PRKCA, PRKCE, PRKG1, MAPK1, SRPK2, STK3, DCLK1, RPS6KA5, CDC42BPB, AKT3, STK38, AAK1, CDK17, MAPK9, STK17A, PPP4R1, MAST2","INSR, LIPE, MAP3K5, PRKCH, PKN2, MAPK10, KALRN, HIPK3, STK38L, SIK2, DAPK2, HIPK2, SNRK, FNIP2, IRAK2, MYLK, PRKCD, MAP4K3",7,"Representative"
"GO:0007010","cytoskeleton organization",3.68286867863833,9.5,0.0120481927710843,1.62440941427078e-06,0.031712456181019,"BIN1, DST, CAPZB, DIAPH1, TPM1, LIMD1, CDC42BPB, SIPA1L3, FGD5, DPYSL2","SH3KBP1, FGD4, SYNE3",11,"Representative"
"GO:0007155","cell adhesion",2.48111750144501,10,0.0053619688344546,5.32237529557811e-06,0.0161196248328482,"CD44, COL5A1, DDR2, ROBO1, TNXB, PLXNC1, ITGA11, CLSTN1, CTNNB1, HAS1, ITGA5, ITGA9, ITGAV, PPFIBP1, CDON","ITGB1, LAMB1, PTPRF, PXDN, MAGI1, AOC3",12,"Representative"
"GO:0007185","cell surface receptor protein tyrosine phosphatase signaling pathway",16.8151889713025,9.5,0.00562081596564355,1.21165999606285e-05,0.018093717498993,"PTPRD, TRIO","PTPRF, FRS2",15,"Representative"
"GO:0008286","insulin receptor signaling pathway",6.71252645406575,10,0.0152288188002474,1.28298225292869e-10,0.0454649573224051,"FER, IGF1R, RHOQ","AKT2, CAV2, INSR, PDK4, BCAR3, IRS2, NAMPT, SORBS1, GPLD1",16,"Representative"
"GO:0018108","peptidyl-tyrosine phosphorylation",4.02997611001159,10,0.0304339774060127,8.59517470987706e-11,0.00140938153117039,"EGFR, FER, FGFR1, FYN, DDR2, PDGFRA, PDGFRB, PTK2, ABL1, ABL2","INSR",20,"Representative"
"GO:0016477","cell migration",3.49450350463697,10,0.0316122584943371,7.76727515068147e-06,0.00031919092101726,"CD44, COL5A1, FGFR1, PTK2, PXN, LIMD1, CDC42BPB, ASAP3, SPATA13, IGFBP6, ITGAV, TGFBR3, IQGAP1","ITGB1, PIK3CB, PTEN, PTPRF, ITGB1BP1, USP33, SH3KBP1, ADAMTS12",21,"Representative"
"GO:0031175","neuron projection development",3.14113286398984,9.5,0.00537634408602151,0.00027240372558891,0.037396492992615,"APP, MAP1B, NEDD4, OPHN1, TMEM108, CNTN4, VPS13B, RAB6A","LAMB1, PTPRM, RAPGEF2, MAPT",25,"Representative"
"GO:0034614","cellular response to reactive oxygen species",3.72366889179116,10,0.0105600445806631,0.000253397056321,0.0309283250566337,"EGFR, FER, PDGFRA, MAPK1, PXN, TPM1, FOS, MAPK9","MAPT, PEX14",27,"Representative"
"GO:1901016","regulation of potassium ion transmembrane transporter activity",12.0530247664528,9.5,0.0119760479041916,5.51183310630154e-05,0.00665413948016006,"NEDD4","FHL1, NEDD4L",28,"Representative"
"GO:2000811","negative regulation of anoikis",9.77463084095179,10,0.025221041918453,1.80353125952536e-05,0.0101053993068777,"PTK2, ITGA5","BCL2, CAV1, ITGB1, PDK4, TLE1",31,"Representative"
"GO:0042060","wound healing",5.89555026569661,10,0.0060984679458575,0.00387061286529006,0.0155799791470437,"COL3A1, SMAD3, PDGFRA, TPM1, DCBLD2, PPP3CA, TGFBR1","FGF2, FGF10, CFLAR, MACF1, EPB41L4B, MIA3",32,"Representative"
"GO:0051091","positive regulation of DNA-binding transcription factor activity",2.21664823291085,10,0.00607869142351901,5.17898923606871e-06,0.0134669109448933,"DDR2, STK3, HDAC4","PPARG, PTEN, FZD4, HIPK2, ARID5B, ESR1, ESR2",35,"Representative"
"GO:0051056","regulation of small GTPase mediated signal transduction",5.33198291209465,10,0.0176525561593576,5.46665662918232e-13,0.0176161170288468,"ABR, ARHGAP6, MYO9A, MYO9B, TRIO, ARHGAP29, ARHGEF10, AKAP13, SWAP70, DNMBP, SRGAP2, ARHGEF3, PLEKHG1, ARHGAP21, ARAP1, FGD5, SPATA13, GNA13","RASGRF2, ITSN1, KALRN, FAM13A, NET1, DLC1, ARHGEF28, FGD4",36,"Representative"
"GO:1902895","positive regulation of miRNA transcription",3.72366889179116,10,0.0277368000491733,6.69225173157168e-09,0.00046902050654845,"EGFR, EGR1, SMAD3, KLF4, FOS","PPARG, TEAD1, FOXO3, NR3C1",37,"Representative"
