"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:0051056","regulation of small GTPase mediated signal transduction",6.05306533093587,10,0.0610209601081812,5.46665662918232e-13,4.40740362023384e-09,"ABR, ARHGAP6, MYO9A, MYO9B, TRIO, ARHGAP29, ARHGEF10, AKAP13, SWAP70, DNMBP, SRGAP2, ARHGEF3, PLEKHG1, ARHGAP21, ARAP1, FGD5, SPATA13","RASGRF2, ITSN1, KALRN, FAM13A, NET1, DLC1, ARHGEF28, FGD4",1,"Representative"
"GO:0018108","peptidyl-tyrosine phosphorylation",4.63059497816594,10,0.0641091954022989,8.59517470987706e-11,1.37206948765721e-05,"EGFR, FER, FGFR1, FYN, DDR2, PDGFRA, PDGFRB, PTK2","INSR",2,"Representative"
"GO:0008286","insulin receptor signaling pathway",7.54615477923338,10,0.0360089923300714,1.28298225292869e-10,2.65360396910934e-09,"FER, IGF1R, RHOQ","AKT2, CAV2, INSR, PDK4, BCAR3, IRS2, NAMPT, SORBS1",3,"Representative"
"GO:0006468","protein phosphorylation",2.56702039410872,10,0.0248632368307825,2.04432588921896e-07,3.76144022674033e-07,"ADAM10, APP, FER, PRKCA, PRKCE, PRKG1, MAPK1, SRPK2, STK3, DCLK1, RPS6KA5, CDC42BPB, AKT3, STK38, AAK1","INSR, LIPE, MAP3K5, PRKCH, PKN2, MAPK10, KALRN, HIPK3, STK38L, SIK2, DAPK2, HIPK2, SNRK, FNIP2",4,"Representative"
"GO:0016477","cell migration",3.38581138188477,10,0.0316122584943371,9.97258267856049e-06,7.51599665993987e-05,"CD44, COL5A1, FGFR1, PTK2, PXN, LIMD1, CDC42BPB, ASAP3, SPATA13","ITGB1, PIK3CB, PTEN, PTPRF, ITGB1BP1, USP33, SH3KBP1, ADAMTS12",5,"Representative"
"GO:2000811","negative regulation of anoikis",9.26118995633188,10,0.025221041918453,1.80353125952536e-05,0.000644531389438754,"PTK2","BCL2, CAV1, ITGB1, PDK4, TLE1",6,"Representative"
"GO:0045429","positive regulation of nitric oxide biosynthetic process",6.64905945582801,10,0.023489010989011,2.79969610948968e-05,0.000872910510775385,"SMAD3, KLF4","ASS1, CD36, HSP90AA1, INSR, PIK3CB",7,"Representative"
"GO:1901016","regulation of potassium ion transmembrane transporter activity",12.3482532751092,10,0.032612548741581,5.51183310630154e-05,0.00351297193364703,"NEDD4","FHL1, NEDD4L",8,"Representative"
"GO:2000480","negative regulation of cAMP-dependent protein kinase activity",8.23216885007278,9,0.00537634408602151,5.51183310630154e-05,0.0467322597277531,"","PRKAR2A, PRKAR2B",9,"Representative"
"GO:1902895","positive regulation of miRNA transcription",3.52807236431691,10,0.0277368000491733,6.13982783734617e-05,0.000469020506548457,"EGFR, EGR1, SMAD3, KLF4","PPARG, TEAD1",10,"Representative"
"GO:0072584","caveolin-mediated endocytosis",14.817903930131,10,0.0186206896551724,6.54012163722158e-05,0.0172217984155411,"MAPK1, PACSIN2","CAV1",11,"Representative"
"GO:0071560","cellular response to transforming growth factor beta stimulus",4.49027391822152,10,0.0214478753378184,0.000112670283853987,0.000189637876550948,"ZFP36L2, SMAD3, WWOX","LIMS1, SOX5, SOX6",12,"Representative"
"GO:0097062","dendritic spine maintenance",9.26118995633188,10,0.00636968516715352,0.000154136934891438,0.00497790617451197,"FYN, IGF1R","INSR",14,"Representative"
"GO:0090110","COPII-coated vesicle cargo loading",3.52807236431691,10,0.00556173526140156,0.000739399342770829,0.00114740669223752,"SEC24D","MIA3",18,"Representative"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",4.35820703827383,10,0.00842771485676216,0.00143175811313906,0.0468583982775369,"ROBO1, DSCAML1, SDK1","ITGB1, PTPRM, TENM3",20,"Representative"
"GO:0006897","endocytosis",5.16903625469686,10,0.019493670886076,0.00179745732192112,0.0165075159161399,"BIN1, APP, DNM1, MYO1E, SCARA5","SORT1, PICALM, TBC1D2B, HOOK2",21,"Representative"
"GO:0007173","epidermal growth factor receptor signaling pathway",2.31529748908297,9,0.00537634408602151,0.00250884545007077,0.00318051500093414,"EGFR","SOS1, BCAR3",24,"Representative"
"GO:1901888","regulation of cell junction assembly",19.7572052401747,10,0.0117054580100721,0.00474922759661018,0.018093717498993,"RAPGEF1, RAP1A, RAP1B","RAPGEF2",28,"Representative"
"GO:0042060","wound healing",7.34220465006491,10,0.0150376884422111,0.00621952002104444,0.0155799791470437,"COL3A1, SMAD3, PDGFRA, TPM1, DCBLD2","FGF2, FGF10, CFLAR, MACF1, EPB41L4B, MIA3",29,"Representative"
"GO:0007219","Notch signaling pathway",6.17412663755459,10,0.0053619688344546,0.00633790731785566,0.00723828012956809,"ADAM10, JAG1, RBPJ, ZNF423","MAML3, MAML2",30,"Representative"
"GO:0035338","long-chain fatty-acyl-CoA biosynthetic process",4.63059497816594,10,0.0053619688344546,0.0302547663587879,0.0407465886623714,"ACSL3","ACSL1, ELOVL5",39,"Representative"
