"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:0035987","endodermal cell differentiation",7.83853083853084,10,0.042451858716919,3.04512560211277e-09,3.2846230684258e-05,"COL6A1, COL12A1, FN1, ITGA5, ITGAV, MMP2","COL4A2, ITGA7, LAMB1",1,"Representative"
"GO:1902895","positive regulation of miRNA transcription",3.91926541926542,10,0.0308960162912053,6.69225173157168e-09,4.12324971059566e-05,"EGR1, FOS, KLF4","FOXO3, NR3C1, PPARG, TEAD1",2,"Representative"
"GO:0033627","cell adhesion mediated by integrin",10.0781110781111,9,0.0227272727272727,6.05209110467934e-08,0.00168266150083201,"FBN1, ITGA5, ITGAV, ITGA11, EMILIN2","ITGB1",3,"Representative"
"GO:0051056","regulation of small GTPase mediated signal transduction",4.61090049325343,10,0.0176525561593576,1.91359897071298e-07,0.0176161170288468,"ABR, MYO9A, MYO9B, TRIO, ARHGEF10, GNA13, AKAP13, SWAP70, DNMBP, SRGAP2, ARHGEF3, PLEKHG1, FGD5, SPATA13","RASGRF2, ITSN1, FAM13A, DLC1, ARHGEF28, FGD4",4,"Representative"
"GO:0006470","protein dephosphorylation",3.5719887365457,10,0.012196935891715,5.76618169629938e-07,0.0437343601558732,"PPP2R2A, PPP3CA, PTPN12, PTPRD, CTTNBP2NL","PPM1B, PPP2R3A, PPP2R5A, PTEN, PTPRM, PTPRS, SSH2",5,"Representative"
"GO:0018108","peptidyl-tyrosine phosphorylation",3.42935724185724,10,0.0304339774060127,2.61890674090988e-06,0.00140938153117039,"ABL1, ABL2, FER, FGFR1, FYN, PTK2","INSR",7,"Representative"
"GO:0051091","positive regulation of DNA-binding transcription factor activity",2.16235333476713,10,0.0381952857291198,5.17898923606871e-06,0.000342200680640572,"HDAC4","ESR1, ESR2, PPARG, PTEN, FZD4, HIPK2, ARID5B",9,"Representative"
"GO:0016477","cell migration",3.60319562738918,10,0.0381952857291198,7.76727515068147e-06,0.000319190921017269,"CD44, COL5A1, FGFR1, IGFBP6, ITGAV, PTK2, PXN, TGFBR3, IQGAP1, CDC42BPB, ASAP3, SPATA13","ITGB1, PIK3CB, PTEN, PTPRF, USP33, SH3KBP1, ADAMTS12",10,"Representative"
"GO:0007185","cell surface receptor protein tyrosine phosphatase signaling pathway",18.812474012474,9,0.0185185185185185,1.21165999606285e-05,0.000119239877376235,"PTPRD, TRIO","PTPRF, FRS2",11,"Representative"
"GO:0006468","protein phosphorylation",2.27570250150895,10,0.0157611693325979,2.38870202109059e-05,0.0096578276259304,"APP, FER, CDK17, PRKCA, MAPK9, DCLK1, STK17A, CDC42BPB, PPP4R1, AKT3, STK38, AAK1, MAST2","INSR, IRAK2, LIPE, MYLK, PRKCD, PRKCH, MAPK10, MAP4K3, STK38L, SIK2, DAPK2, HIPK2, SNRK, FNIP2",12,"Representative"
"GO:0008286","insulin receptor signaling pathway",5.87889812889813,10,0.0152288188002474,2.99262278562465e-05,0.0454649573224051,"FER, IGF1R","GPLD1, INSR, PDK4, BCAR3, IRS2, NAMPT, SORBS1",13,"Representative"
"GO:0007010","cytoskeleton organization",3.59265996765997,9,0.0120481927710843,3.43849302222489e-05,0.031712456181019,"DST, CAPZB, DIAPH1, DPYSL2, TPM1, CDC42BPB, SIPA1L3, FGD5","SH3KBP1, FGD4, SYNE3",14,"Representative"
"GO:0048660","regulation of smooth muscle cell proliferation",13.4374814374814,10,0.00806138306138306,0.000162660649557719,0.00472669415523437,"CTNNB1, ELN, NR4A3","TCF7L2",23,"Representative"
"GO:0031175","neuron projection development",2.89918263890867,10,0.0060984679458575,0.000272403725588917,0.00048648415728831,"APP, MAP1B, NEDD4, RAB6A, CNTN4, VPS13B","LAMB1, MAPT, PTPRM",26,"Representative"
"GO:1901016","regulation of potassium ion transmembrane transporter activity",11.7577962577963,9,0.0119760479041916,0.000380812348612533,0.00665413948016006,"NEDD4","FHL1, NEDD4L",27,"Representative"
"GO:0070555","response to interleukin-1",3.91926541926542,10,0.00894640146976595,0.000691468765002179,0.0298763537558342,"APP, PRKCA, HDAC4","IRAK2",31,"Representative"
"GO:0032332","positive regulation of chondrocyte differentiation",6.41334341334341,10,0.0060984679458575,0.000859825732512979,0.00572649639236757,"","SOX5, ZBTB16, SOX6",33,"Representative"
"GO:0043124","negative regulation of canonical NF-kappaB signal transduction",3.91926541926542,9,0.00854700854700855,0.00104466180043159,0.0454809882728802,"RORA, TGFBR3, TMSB4X","ESR1, PPM1B, TLE1, ADIPOQ, TNIP1",34,"Representative"
"GO:0120162","positive regulation of cold-induced thermogenesis",3.59932538503967,10,0.012012120337638,0.00136890042922235,0.0375243404312219,"DYNC1H1, GRB10, IGF1R, IL4R, EBF2","ACADL, CAV1, CD36, ESRRG, FABP4, ACSL1, HADH, ADIPOQ, ADIPOR2, PPARGC1B",38,"Representative"
"GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis",4.95065105591421,10,0.0211200891613263,0.00227265238496728,0.00932933255134986,"ABL1, FYN, PTK2","PRKCD",43,"Representative"
"GO:0048870","cell motility",10.4513744513745,10,0.0176525561593576,0.00256539281906405,0.0173361268766855,"ACTB, DST, CD34, PTK2, TGFBR1, IER2, ELMO1","ENPP2",44,"Representative"
"GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",2.13778113778114,9,0.00934579439252336,0.00363088585038064,0.0209992438045263,"FBXL7, FBXL2","",48,"Representative"
"GO:0042060","wound healing",4.44889588132831,10,0.0060984679458575,0.00387061286529006,0.00536021480120815,"COL3A1, PPP3CA, TGFBR1, TPM1","FGF10, CFLAR, EPB41L4B",49,"Representative"
