"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADAMTS16",2.48503539252334e-288,2.5180809577199,0.708,0.09,7.69292406463451e-284
"KCNB2",3.60790781696246e-266,2.68150522452695,0.714,0.107,1.11690002289707e-261
"CREB5",1.03373341277016e-264,2.60020536232149,0.968,0.407,3.20012852591257e-260
"STK32B",6.71744585309571e-264,2.30206253657525,0.74,0.123,2.07951971274284e-259
"SDK1",9.16536980101439e-262,2.73793838940883,0.988,0.658,2.83732352930003e-257
"FHOD3",8.1523250804226e-252,2.32723393355274,0.751,0.142,2.52371527514643e-247
"MFAP5",4.5562260325831e-239,2.13297683688112,0.858,0.238,1.41047089290675e-234
"FBN1",2.29563693914936e-225,2.01814031842788,0.996,0.891,7.10660327252467e-221
"MEG3",7.818714532148e-209,2.03427136614292,0.945,0.421,2.42043945771706e-204
"HUNK",6.34238935554082e-205,1.64494766855261,0.559,0.073,1.96341347279477e-200
"GALNT17",1.26460120745177e-202,2.33385475887409,0.646,0.12,3.91482595790845e-198
"GRK5",2.50290674559744e-201,2.28634600388949,0.906,0.379,7.74824841234599e-197
"GUCY1A2",5.49985817859401e-191,1.71049044904292,0.473,0.05,1.70259109634735e-186
"PXDNL",5.15091340128626e-189,2.22905768738007,0.763,0.232,1.59456826163619e-184
"DACT2",8.86185617265019e-182,1.20728474108803,0.34,0.014,2.74336481536732e-177
"MEG8",1.36160742481828e-173,2.04381692634795,0.888,0.401,4.21512810500995e-169
"CAMK1D",4.6251365072017e-173,1.9361163553622,0.899,0.469,1.43180350853443e-168
"DOCK4",1.17511874953384e-171,1.84585294967859,0.959,0.594,3.63781511293191e-167
"ITGA11",3.56366847083566e-171,1.66054496378801,0.868,0.325,1.1032048485166e-166
"CNTN4",8.6908169832017e-165,1.87830634678655,0.879,0.386,2.69041621348975e-160
"MIR4435-2HG",5.3885950217422e-162,1.66485901066529,0.543,0.098,1.66814736088073e-157
"LMX1A",1.77054380725882e-155,1.13860330424968,0.333,0.022,5.48107246413114e-151
"NOVA2",1.91253463619903e-154,1.10413128122404,0.379,0.034,5.92063347328134e-150
"DST",7.25290371223471e-152,1.43176833797575,0.948,0.66,2.2452814021965e-147
"SEMA3C",1.75075119044824e-147,1.80375290277662,0.945,0.816,5.41980046027062e-143
"AIF1L",2.14908119646175e-146,1.24647437924202,0.438,0.059,6.65291065988663e-142
"CYTOR",1.61737556956305e-144,1.29232084288261,0.461,0.072,5.00690955069632e-140
"GHR",3.67463590504228e-144,-2.22423611619293,0.71,0.92,1.13755703712394e-139
"STON2",3.06509939802803e-142,1.39796211549863,0.534,0.109,9.48862820647537e-138
"MALAT1",2.37404696027031e-140,-0.784436221713385,1,1,7.34933717490881e-136
"LINC01133",3.0163542747905e-139,1.52191563150428,0.56,0.13,9.33772792846894e-135
"SPSB4",7.45540946690327e-136,1.12252522743284,0.409,0.055,2.30797110866925e-131
"PTGIS",1.13042543212506e-135,1.68230015194555,0.849,0.418,3.49945801022954e-131
"TSPAN18",1.6884664127016e-135,1.24458242191052,0.45,0.071,5.22698547380034e-131
"SMURF2",1.17970933041093e-134,1.9317974159199,0.856,0.55,3.65202617415311e-130
"TBC1D12",6.10519673243593e-134,1.64451471972188,0.765,0.355,1.88998575246019e-129
"TRERF1",3.18044989362979e-129,1.35994225041668,0.833,0.365,9.84571873570974e-125
"GAS7",2.35718273585655e-128,1.51339759042164,0.922,0.533,7.29713059539111e-124
"ADGRD1",1.88392204000798e-127,1.53396059888567,0.719,0.265,5.8320574592527e-123
"TNXB",4.36577873777933e-127,1.24878010144101,0.984,0.685,1.35151412385435e-122
"FSTL1",8.36608734102302e-127,1.46778024748563,0.89,0.568,2.5898896581605e-122
"TMEM108",1.06410818746042e-125,1.47941506057843,0.445,0.078,3.29415971592123e-121
"AC124254.2",1.22502690178281e-122,1.53823539764794,0.445,0.08,3.79231577984904e-118
"TLN2",8.7678872228051e-121,-1.75537860034642,0.696,0.898,2.71427484756378e-116
"CHST15",1.08638511327505e-116,1.19675559696193,0.372,0.056,3.36312239516558e-112
"PPARG",1.38247607382159e-114,-2.22368874255588,0.466,0.805,4.2797311817295e-110
"SLC7A14-AS1",2.38544951312547e-114,1.70969346061008,0.548,0.147,7.38463605778253e-110
"AXL",2.7715335377178e-113,1.32315227953463,0.783,0.342,8.57983637271301e-109
"HMCN2",5.85339855263702e-113,1.36939039051715,0.52,0.125,1.81203658993984e-108
"AUTS2",4.67036689134202e-110,0.920472194205003,0.982,0.953,1.44580547855275e-105
"CYP1B1-AS1",7.44560658354871e-109,1.46375362977811,0.724,0.29,2.30493643006917e-104
"SCARA5",2.80199898805602e-106,1.25460069581556,0.778,0.323,8.67414826732503e-102
"CD55",1.26640150325647e-104,1.73180092922312,0.616,0.234,3.92039913363105e-100
"EXT1",1.96667188688601e-103,1.31639079485383,0.934,0.787,6.08822616023302e-99
"PALM2-AKAP2",8.98735525723227e-103,-1.67492704721181,0.427,0.782,2.78221556698139e-98
"ADAMTS6",1.49766531638551e-101,1.45316952483049,0.432,0.098,4.63632251993461e-97
"GFPT2",9.79908926819755e-101,1.27156719219958,0.794,0.38,3.03350406475592e-96
"ACACB",1.43128607678982e-99,-2.14943103463919,0.715,0.867,4.43083230791825e-95
"PDE1C",1.4389163148558e-99,1.22815936423272,0.525,0.146,4.45445323589909e-95
"KIAA1671",1.21349598238571e-98,1.31360660090994,0.534,0.159,3.75661951267145e-94
"SH3PXD2B",2.58168190810145e-98,1.30595894855812,0.649,0.247,7.99211268290966e-94
"ARHGEF10",3.59434885247332e-98,1.18800528959822,0.795,0.432,1.11270257426017e-93
"AGAP1",2.47012417255698e-97,1.22722323927437,0.925,0.794,7.64676340098465e-93
"ELMO1",6.71812678660595e-97,1.25226438183002,0.753,0.361,2.0797305093296e-92
"ARHGEF3",7.83541621398045e-97,1.23542000075275,0.783,0.396,2.42560979736193e-92
"DNM1",1.39632725223599e-95,1.17556835982225,0.76,0.361,4.32261027474695e-91
"COL1A2",5.20327262047994e-93,1.09192541450588,0.84,0.435,1.61077710512197e-88
"FLRT2",7.56287515220543e-93,1.42582392106465,0.783,0.476,2.34123926086824e-88
"FNDC1",1.36302777571589e-92,1.22272823050053,0.363,0.069,4.21952508528369e-88
"NHSL1",1.95582628696536e-92,1.31995623024401,0.73,0.371,6.05465143655866e-88
"PXN",2.5201263676587e-91,1.16879577817613,0.587,0.21,7.80155519636104e-87
"DDX60L",1.00602445514771e-88,1.1235139884812,0.507,0.154,3.11434990580077e-84
"PLCB1",2.29009810070647e-88,1.00391663208561,0.956,0.86,7.08945669035702e-84
"KLHL13",3.18230952604991e-88,1.35388357878439,0.584,0.209,9.8514755997927e-84
"AQP7",8.81080006984031e-88,-2.82086424580158,0.206,0.597,2.72755937762046e-83
"DMD",9.45905185477041e-88,-1.94237310231893,0.658,0.82,2.92823868268128e-83
"PDE3B",2.10863093203936e-87,-2.59884662145222,0.432,0.715,6.52768877631424e-83
"TRIO",1.10283750509235e-86,0.995666779350298,0.954,0.867,3.41405406451439e-82
"PSD3",1.69304271099708e-85,1.21433736186922,0.754,0.41,5.24115232043365e-81
"SORBS1",1.95034688385188e-84,-2.33991850723333,0.407,0.714,6.03768884834026e-80
"SPATA13",4.11849755827079e-84,0.86638681331046,0.343,0.067,1.27496328911389e-79
"PCDH9",7.00715270269261e-84,-1.45877704934893,0.632,0.861,2.16920426217255e-79
"DCLK1",2.68330506098163e-82,0.981405734592372,0.911,0.555,8.30670747728084e-78
"STARD9",4.94506171577212e-82,1.03396009271461,0.79,0.42,1.53084275535157e-77
"PNPLA2",9.15682270806376e-81,-2.02832029819875,0.189,0.581,2.8346776057353e-76
"NTM",1.03970221013702e-79,1.29831595923498,0.785,0.459,3.21860613192117e-75
"LSP1",1.96781381597739e-79,0.930021386664568,0.714,0.293,6.0917612301212e-75
"PLIN1",2.76992370356936e-79,-1.99818804844641,0.286,0.625,8.57485280913966e-75
"CARMIL1",2.84939751492935e-79,1.07575347755809,0.792,0.473,8.82087988696679e-75
"STXBP6",2.87619890624363e-79,1.1664522017025,0.463,0.139,8.90384895405842e-75
"ADAMTS2",5.77340061578957e-79,1.13734820043849,0.681,0.342,1.78727162862998e-74
"HECW2",1.10906976878231e-78,0.999080287022953,0.399,0.1,3.4333472832194e-74
"SOX5",7.03176451022463e-78,-1.06604607456648,0.972,0.967,2.17682333943024e-73
"LINC02384",1.25177676150534e-77,1.05225057877706,0.335,0.071,3.87512532059209e-73
"HDAC7",2.06276549301383e-77,1.11195004079339,0.655,0.307,6.38570313672293e-73
"VASH2",2.68483911135626e-77,0.832484448161922,0.301,0.054,8.31145643702559e-73
"ZEB1",4.22764811946949e-77,0.958863773148526,0.95,0.818,1.30875302834417e-72
"CD36",1.64341024703789e-76,-2.05384790364213,0.616,0.801,5.08750510175518e-72
"LTBP4",1.46059514143007e-75,1.05793369665892,0.626,0.27,4.52156437932508e-71
"EBF2",3.37480940854067e-74,0.973726391027137,0.952,0.707,1.04473974860194e-69
"ADH1B",5.4701720351603e-73,-1.47414828217104,0.525,0.781,1.69340115692457e-68
"TMEM132C",9.36440529667876e-73,-1.57817599222859,0.553,0.764,2.89893894769285e-68
"PLAAT3",1.45749585615899e-72,-1.72924362708177,0.212,0.586,4.5119699219114e-68
"PROCR",1.71234794998687e-72,1.15933222405574,0.5,0.181,5.30091554877434e-68
"SASH1",3.31054275139139e-72,1.0890773477935,0.813,0.557,1.02484471954823e-67
"NRP1",1.05920227237727e-71,-1.26626875057015,0.527,0.832,3.27897247459833e-67
"COL4A1",2.29240250153388e-71,-1.56354545197113,0.358,0.688,7.09659042399843e-67
"BDKRB2",8.14441703813639e-71,0.934868545742515,0.422,0.12,2.52126718249588e-66
"TRHDE-AS1",2.07908011057463e-70,-1.54385992123802,0.141,0.54,6.43620829830589e-66
"PLIN5",2.44031043561489e-70,-1.77600190070732,0.103,0.501,7.55446901553302e-66
"COL5A1",4.40332122153549e-70,1.01097460529431,0.81,0.549,1.36313615055074e-65
"COL4A2",4.71787026997434e-70,-1.43389729128161,0.39,0.708,1.46051109947596e-65
"TPST1",4.75098208838853e-70,1.04791966230039,0.742,0.4,1.47076152510244e-65
"GPD1",4.88539953638618e-70,-1.69476773280561,0.101,0.497,1.51237313447907e-65
"DHRS3",5.26019930401889e-70,-1.42120740659052,0.217,0.623,1.62839989854513e-65
"PCNX2",9.22456720111577e-70,1.00322892542818,0.578,0.232,2.85564926844941e-65
"ZBTB7C",9.74415733198957e-70,1.46472457050139,0.546,0.24,3.01649878526401e-65
"GYG2",1.64731788016302e-69,-1.56797861145631,0.117,0.51,5.09960196162068e-65
"LINC02802",1.68950679395374e-69,0.751485387150505,0.377,0.098,5.2302061820426e-65
"AC008050.1",2.38057427295328e-69,1.12605145975497,0.416,0.126,7.36954377678148e-65
"ADAM12",3.8117836664434e-69,-1.48538769960988,0.141,0.544,1.18001386962088e-64
"ASPH",4.99955447665383e-69,-1.30030071810892,0.685,0.834,1.54771207933773e-64
"CTNNA2",5.34257344221009e-69,1.7140440334118,0.308,0.07,1.65390046050498e-64
"KCNIP2",9.28514380183189e-69,-1.50026251595179,0.082,0.479,2.8744019667331e-64
"CIDEA",1.65246370932491e-68,-1.61417983003048,0.094,0.488,5.11553190495714e-64
"ADRA1B",1.66203744571491e-68,0.874613335534001,0.31,0.067,5.14516932069966e-64
"TRHDE",4.52913176562955e-68,-1.40335339246586,0.217,0.601,1.40208332068594e-63
