"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AQP7",0,-3.15881981619462,0.173,0.774,0
"FBLN1",0,2.36945083349292,0.908,0.423,0
"ABCA10",1.20380003648448e-303,2.25403573955215,0.912,0.637,3.72660377294501e-299
"MAST4",5.24431212879002e-283,-1.77224632091407,0.673,0.945,1.62348170570953e-278
"KAZN",1.0608768572552e-281,1.79066009997957,0.971,0.71,3.28415648700491e-277
"PNPLA2",1.06251806962257e-272,-2.26800199574568,0.173,0.746,3.28923718813059e-268
"PLIN1",4.97409529674846e-271,-2.2177645217353,0.254,0.78,1.53983068101442e-266
"PLIN5",5.74783406331287e-266,-2.16800802468648,0.073,0.678,1.77935699097977e-261
"BOC",2.84730010746074e-261,2.17770407025404,0.748,0.262,8.81438694266622e-257
"PDE3B",6.13666310029884e-254,-2.69887049663097,0.436,0.825,1.89972679595951e-249
"GPD1",8.54265757623197e-253,-2.02716825240888,0.081,0.668,2.64455050587413e-248
"TSHZ2",1.61466112168741e-250,1.34538924351174,0.987,0.962,4.99850643440773e-246
"ABCA8",6.53564611745373e-249,1.76741689550082,0.902,0.66,2.02323996858015e-244
"PRICKLE1",6.45731313239207e-248,2.40842661417237,0.769,0.332,1.99899042639461e-243
"SLC19A3",2.43720448361065e-234,-2.09006709738778,0.166,0.712,7.54485391991347e-230
"KCNIP2",8.03802871051408e-231,-1.73718920202056,0.075,0.64,2.48833254791384e-226
"ABCA6",1.24566105850824e-230,1.64948052638361,0.885,0.686,3.85619293882395e-226
"SORBS1",1.61071230842139e-230,-2.44398226625812,0.439,0.814,4.9862820931801e-226
"GYG2",3.62644795048545e-228,-1.77520511365887,0.113,0.668,1.12263949203178e-223
"PLIN4",9.03313342170428e-228,-2.14524586805049,0.189,0.716,2.79638711335699e-223
"ADIPOQ",1.11839026559188e-224,-1.89479799736252,0.202,0.729,3.46220074519278e-220
"KCND2",4.44744618085253e-219,2.104569142029,0.805,0.431,1.37679591420652e-214
"CD36",1.10517132961027e-217,-2.16320672999564,0.608,0.879,3.42127888507452e-213
"PFKFB3",2.59886915796327e-217,-2.02101221976334,0.401,0.826,8.04531925230689e-213
