"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KAZN",0,-3.66741261411577,0.57,0.967,0
"PTGER3",0,2.23095045593514,0.882,0.238,0
"NEGR1",0,-3.17653443756772,0.485,0.927,0
"LINC02607",0,1.7801594939664,0.773,0.15,0
"AL845331.2",0,1.48021758572982,0.677,0.058,0
"PECR",0,1.72858367417602,0.867,0.199,0
"TNS1",0,1.62224131159783,0.977,0.734,0
"SLC19A3",0,2.19772597737455,0.924,0.226,0
"PPARG",0,1.9781809944156,0.975,0.612,0
"ADIPOQ",0,2.03608616759937,0.927,0.263,0
"KLB",0,1.78122335563922,0.802,0.119,0
"TENM3",0,1.82502230122852,0.926,0.452,0
"FBXL7",0,-2.09250536948788,0.706,0.931,0
"GHR",0,1.91352755591749,0.992,0.82,0
"MAST4",0,1.71007369544884,0.988,0.742,0
"LVRN",0,1.89873586761555,0.927,0.37,0
"TNXB",0,-3.00416648579565,0.411,0.935,0
"LAMA2",0,-2.74408077684345,0.481,0.862,0
"ZNF117",0,1.57338006967423,0.858,0.236,0
"CD36",0,2.28812797821107,0.979,0.641,0
"PRKAR2B",0,1.99111376033525,0.882,0.287,0
"LPL",0,2.31841605651381,0.903,0.314,0
"ADRA1A",0,1.81241612120626,0.81,0.169,0
"LINC02237",0,2.04963026348536,0.85,0.218,0
"AQP7",0,2.88174324860707,0.99,0.249,0
"PFKFB3",0,2.11026990291298,0.954,0.47,0
"BICC1",0,-2.49930776591734,0.307,0.824,0
"SORBS1",0,2.48018332117312,0.972,0.472,0
"OGA",0,1.59135061640869,0.98,0.682,0
"KCNIP2",0,1.84485940420242,0.855,0.14,0
"AL136119.1",0,2.1331577086006,0.825,0.205,0
"GPAM",0,2.21405090804958,0.913,0.339,0
"PNPLA2",0,2.34201037090936,0.963,0.24,0
"PDE3B",0,2.675018346281,0.974,0.48,0
"PLAAT3",0,2.010403094319,0.922,0.278,0
"MALAT1",0,0.962612615894971,1,1,0
"PC",0,1.65131630136152,0.784,0.145,0
"SIK2",0,2.22389715757293,0.98,0.689,0
"SOX5",0,1.31897880651864,0.992,0.952,0
"GPD1",0,2.11978569918794,0.89,0.149,0
"TRHDE-AS1",0,1.78204853893028,0.867,0.231,0
"ACACB",0,2.23214739115092,0.987,0.752,0
"TMEM132C",0,1.7720182666672,0.963,0.585,0
"DCLK1",0,-3.04576999911504,0.235,0.848,0
"MEG3",0,-3.01656905303362,0.077,0.772,0
"PLIN1",0,2.27942533488643,0.97,0.321,0
"GAS7",0,-3.00827801579356,0.209,0.837,0
"ABCA9",0,-2.66137320493624,0.56,0.902,0
"ABCA10",0,-2.89202787668756,0.545,0.872,0
"CIDEA",0,1.92849543982931,0.846,0.161,0
"PLIN4",0,2.21713076277113,0.913,0.252,0
"PLIN5",0,2.15797480794836,0.899,0.148,0
"LIPE",0,1.96014327755416,0.879,0.226,0
"TSHZ2",0,-1.84685190846694,0.95,0.985,0
"FBLN1",0,-3.43460957569362,0.222,0.863,0
"GYG2",0,1.9074716100912,0.882,0.175,0
"DMD",0,2.02325868906599,0.975,0.68,0
"PTPRF",1.24805885729564e-307,1.56351659030631,0.897,0.275,3.8636158045301e-303
"ASPH",2.45251303386736e-307,1.56913430715311,0.971,0.71,7.59224459894318e-303
"PALMD",8.13983590147678e-305,1.71344094145838,0.889,0.281,2.51984900002017e-300
"IRS2",2.66454187158663e-302,1.8252083048203,0.865,0.274,8.24862227187075e-298
"LRIG1",6.26796333056996e-301,1.91148257710812,0.863,0.285,1.94037340824454e-296
"ACSL1",8.03644480751113e-301,2.11954523661258,0.89,0.319,2.48784221906122e-296
"PRKG1",2.24399906958515e-299,-2.39635285721853,0.493,0.86,6.94674791971474e-295
"EBF2",3.75701890464413e-298,-2.11331084804038,0.485,0.91,1.16306034231068e-293
"LINC00278",1.12120548857971e-297,1.829943888908,0.938,0.505,3.4709158309962e-293
"SORT1",1.10955584288763e-294,1.43980066365644,0.79,0.165,3.43485202282724e-290
"ITGA7",8.34026784257894e-294,1.38928901934616,0.688,0.092,2.58189671602716e-289
"DIRC3",2.55009240924145e-292,2.00728846719074,0.879,0.329,7.89432107128876e-288
"DCN",1.27573353320604e-291,-2.20409171450621,0.363,0.826,3.94928829874595e-287
"PFKFB1",5.50885776796455e-291,1.38233066819111,0.682,0.09,1.70537709922879e-286
"ABCA8",2.21990853440197e-288,-2.25308849595132,0.562,0.879,6.87217084994817e-284
"DOCK4",5.95950019462979e-288,-2.60295015968782,0.382,0.822,1.84488247525154e-283
"AUXG01000058.1",1.09603932486977e-285,1.69374263418422,0.879,0.286,3.39300893799936e-281
"TLN2",1.47131267596615e-281,1.45690142346898,0.982,0.793,4.55474265098841e-277
"PDGFRA",4.40771305490301e-281,-2.32159421112563,0.086,0.691,1.36449573040633e-276
"ACVR1C",2.53771612459561e-278,1.70244136187978,0.793,0.197,7.85600780691062e-274
"ALDH1L1",7.06338021828887e-276,1.23422889196282,0.66,0.086,2.18661061417568e-271
"EPB41",8.1215991059425e-276,1.57918618697819,0.848,0.26,2.51420343522662e-271
"AC002066.1",9.41528954090532e-276,1.80349665501977,0.754,0.173,2.91469118317806e-271
"TRARG1",2.2213069868657e-275,1.42571316815831,0.655,0.086,6.87650003924015e-271
