"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DIRC3",1.11307137384265e-16,0.537060870410826,0.834,0.523,3.44573505200469e-12
"PLIN5",1.40647622665861e-16,0.524001572120275,0.768,0.417,4.35402845486706e-12
"KCNIP2",9.49800787487342e-16,0.461788008161706,0.73,0.396,2.94029829782456e-11
"AL136119.1",3.38398978584034e-15,0.531134576811407,0.725,0.427,1.04758171800259e-10
"LINC00278",1.38788366085732e-14,0.4701323042144,0.891,0.659,4.29647144891599e-10
"PDE3B",1.41517041746977e-14,0.410985860834813,0.9,0.656,4.38094306136117e-10
"AQP7",1.91370694222903e-14,0.52209006484347,0.877,0.514,5.92426258105841e-10
"PFKFB1",5.25569926662578e-14,0.370666034696383,0.588,0.302,1.62700682196934e-09
"CIDEA",8.60769590226104e-14,0.378814246536998,0.73,0.406,2.66468442046295e-09
"SIK2",1.5111813083899e-13,0.377341417344015,0.919,0.794,4.67816397638262e-09
"PTGER3",2.3160088983678e-13,0.317143357397675,0.801,0.467,7.16966874667719e-09
"GYG2",3.17123963156098e-13,0.404316786494016,0.739,0.43,9.81720652742332e-09
"PLIN1",3.83648308876356e-13,0.424390484654808,0.858,0.554,1.18766006978854e-08
"ACVR1C",6.45495737196131e-13,0.477692095864379,0.697,0.41,1.99826115363806e-08
"SORBS1",1.08668369721731e-12,0.428695005599131,0.867,0.653,3.36404672147564e-08
"AGBL4",1.56835678305596e-12,0.348280298780504,0.673,0.382,4.85516209330633e-08
"PLIN4",2.61065287966947e-12,0.380946414879042,0.787,0.489,8.08179811959279e-08
"OGA",2.70469547246679e-12,0.396879024231278,0.886,0.792,8.37292577411543e-08
"FAM13A",2.76503535178259e-12,0.448169932491541,0.882,0.723,8.55971993851335e-08
"PNPLA2",2.87433744689673e-12,0.355645963013638,0.82,0.5,8.8980864343582e-08
"LINC02237",3.34244510139869e-12,0.361393256534399,0.744,0.444,1.03472073003999e-07
"PRKAR2B",4.81328388056599e-12,0.400475323304416,0.768,0.501,1.49004829090681e-07
"GPD1",5.39622390892603e-12,0.345360850175563,0.73,0.416,1.67050903548623e-07
"AC025470.2",6.36973232681883e-12,0.316612478846713,0.389,0.18,1.97187803641331e-07
"CD36",6.77591093914344e-12,0.349287199138022,0.929,0.762,2.09761874943063e-07
"MOGAT1",7.23182702179921e-12,0.327556938470449,0.422,0.21,2.23875669113838e-07
"NIPSNAP3B",8.18364112889738e-12,0.307172264184768,0.398,0.191,2.53340978427276e-07
"RANBP17",9.90507233227464e-12,0.322838722509425,0.346,0.155,3.06631324190226e-07
"ADIPOQ",1.41488386617089e-11,0.318435392155366,0.791,0.503,4.38005598450524e-07
"TNFAIP8",1.64125624481853e-11,0.379338218548013,0.55,0.298,5.08083695708471e-07
"ACACB",1.77703291814861e-11,0.332113995430024,0.929,0.837,5.50116080471266e-07
"PLAAT3",2.55047574939171e-11,0.420349325422102,0.782,0.511,7.89550777739192e-07
"GPAM",2.60776680034629e-11,0.372246710079973,0.791,0.546,8.07286368383202e-07
"AC005089.1",5.08416031164227e-11,0.334236664510909,0.483,0.256,1.5739035076751e-06
"LVRN",6.83461296444984e-11,0.442372994876439,0.806,0.571,2.11579113540474e-06
"RNF150",7.43298839338137e-11,0.481752411831101,0.673,0.443,2.30103021693907e-06
"ANKRD30A",7.51434570333592e-11,0.487659970384426,0.479,0.256,2.3262159993817e-06
"PFKFB3",7.74710480944463e-11,0.32126035963419,0.867,0.644,2.39827123585977e-06
"C2CD2",9.0619338119498e-11,0.359746731480361,0.725,0.454,2.8053028501653e-06
"AC007529.2",9.26496160487514e-11,0.359750504977621,0.597,0.348,2.8681541640212e-06
"GHR",1.37863781621804e-10,0.330892167048843,0.962,0.882,4.2678490876662e-06
"ADRA1A",1.83191059560898e-10,0.329006436979955,0.664,0.401,5.67104563082672e-06
"LPL",1.97778940416357e-10,0.368289623814714,0.768,0.527,6.12264265846916e-06
"APOL6",2.32921347723158e-10,0.309317769772942,0.668,0.4,7.2105461614658e-06
"PECR",2.53917018129201e-10,0.303984472554703,0.725,0.44,7.86050913022566e-06
"PALMD",5.31598268075029e-10,0.356881326565356,0.758,0.5,1.64566875847987e-05
"AC138123.1",6.47535884234147e-10,0.340488803671136,0.687,0.419,2.00457683682365e-05
"IRS2",6.56319938859368e-10,0.307266132764057,0.739,0.487,2.03176963472694e-05
"DMD",7.73220171599e-10,0.415079001591197,0.891,0.788,2.39365768521903e-05
"PPARG",9.61772805773501e-10,0.333228936876837,0.905,0.742,2.97736007483303e-05
"AUXG01000058.1",1.07056648481751e-09,0.403511219024431,0.73,0.502,3.31415266704958e-05
"PC",1.66400930007066e-09,0.307643877505073,0.64,0.376,5.15127359022873e-05
"LRIG1",1.66501973071023e-09,0.385743028126923,0.725,0.495,5.15440158035967e-05
"CTIF",1.79610614680128e-09,0.415736678429311,0.787,0.595,5.56020579865271e-05
"SLC19A3",2.08775184427171e-09,0.301088151278885,0.744,0.48,6.46305338431194e-05
"FAM49B",2.79680162810194e-09,0.354175742417475,0.711,0.459,8.65805880011519e-05
"ACSS2",2.91596434094176e-09,0.365813417607604,0.73,0.477,9.02695081025342e-05
