"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:0051056","regulation of small GTPase mediated signal transduction",4.51020266638928,10,0.01,8.02591752234431e-15,1.60623037914292e-06,"ARHGAP6, AKAP13, ARHGAP26, ARHGEF12, SRGAP2, ARHGEF3, FGD5","BCR, RASGRF2, ITSN1, TRIO, ARHGAP29, FAM13A, NET1, DLC1, ARHGEF40, ARHGAP31, ARHGAP20, ARHGEF28, ARHGAP28, DOCK8, STARD13, FGD4",1,"Representative"
"GO:0006468","protein phosphorylation",2.58087333504464,10,0.075,1.28573741813094e-14,1.12968228425046e-12,"APP, CAMK2D, JAK1, CDK17, PRKCA, PRKCG, PRKG1, YWHAZ, DCLK1, RPS6KA5, MAP4K4, AKT3, HIPK3, LRRK2","BCR, CDK6, INSR, IRAK2, LIPE, MARK1, MYLK, PRKACA, PRKCD, PRKCH, MAPK10, MAP2K1, SRPK2, MAP4K3, ROCK2, TRIB1, STK38L, SIK2, DAPK2, HIPK2, SNRK, FNIP2",2,"Representative"
"GO:0030335","positive regulation of cell migration",2.71210418258928,10,0.1475,4.13329213459698e-10,5.10251850356674e-06,"COL1A1, EGFR, IGF1, IGF1R, ROR2, PDGFRA, PPP3CA, PRKCA, PTK2, MAP4K4, MYADM","AKT2, CAV1, INSR, ITGB1, MYLK, MYO1C, TJP1, VEGFA, ROCK2, FERMT2, DAAM2, TWIST2, SH3RF2",3,"Representative"
"GO:1902895","positive regulation of miRNA transcription",3.80986063744684,10,0.065,7.08734633386449e-08,3.82971770059032e-05,"EGFR, EGR1, FOS, JUN, SMAD3, KLF4","PPARG, TEAD1",5,"Representative"
"GO:0016477","cell migration",3.06478708536551,10,0.07,1.44074996578373e-07,2.64870990450248e-05,"CD44, CDH11, COL5A1, FGFR1, LAMC1, NFATC2, PTK2, ASAP3","RHOA, ITGB1, PIK3CB, PTEN, PTPRF, TGFBR3, ITGB1BP1, USP33, SH3KBP1, LIMA1, ADAMTS12",6,"Representative"
"GO:0043547","positive regulation of GTPase activity",3.29699478240592,10,0.015,2.27034778113655e-07,0.0001886374935273,"NF1, MAP4K4, DOCK9, SRGAP2, ASAP3","ITGB1, LIMS1, BCAR3, RAPGEF2, USP6NL, NET1, FERMT2, NDEL1, DOCK8, DOCK11",7,"Representative"
"GO:0032869","cellular response to insulin stimulus",4.36402218471184,10,0.0175,3.19390514666677e-07,3.61712054552559e-07,"ZFP36L1","AKT2, FOXO1, GPLD1, INSR, PCK1, PDE3B, PPARG, IRS2, ADIPOQ, SORBS1, SLC25A33",8,"Representative"
"GO:0035556","intracellular signal transduction",3.51382416899658,10,0.0175,6.03787806536381e-07,0.000301856490201874,"DDX3X, FYN, NFATC1, PLCG2, RPS6KA5, MAP4K4, SH3BP5, LRRK2","ADRA1A, CSPG4, MARK1, PLCL1, PRKAR2A, PRKAR2B, SRPK2, TGFBR3, ANP32A, MAP4K3, ITGB1BP1, RAPGEF2, ARFGEF2, STK38L, SIK2, DAPK2, PRKAG2, CAB39",10,"Representative"
"GO:0007185","cell surface receptor protein tyrosine phosphatase signaling pathway",16.0014146772767,10,0.025,9.42362172011467e-07,0.000110281401676551,"PTPRD","PTPRF, TRIO, FRS2",11,"Representative"
"GO:2000811","negative regulation of anoikis",8.75077365163572,10,0.0475,1.01811703209172e-06,0.00768791293796191,"MCL1, PTK2","BCL2, CAV1, ITGB1, PDK4, TLE1",12,"Representative"
"GO:1903078","positive regulation of protein localization to plasma membrane",3.47856840810364,10,0.04,1.35144680677922e-06,0.00943058838843187,"EGFR","ATP2B4, DLG1, ITGB1, KIF5B, PRKCH, SPTBN1, SORBS1",13,"Representative"
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction",2.50022104332449,10,0.01,2.70144150056731e-06,3.00338758893522e-06,"ZFP36L1, NF1","PIK3CB, PTEN, GAB2",14,"Representative"
"GO:0045599","negative regulation of fat cell differentiation",6.06114192321089,10,0.0375,1.2011700792765e-05,0.00218214834647577,"ZFP36L2, RUNX1T1, SMAD3, RORA, WWTR1","FOXO1, TRIO, ADIPOQ, YAP1, FERMT2",16,"Representative"
"GO:0097062","dendritic spine maintenance",10.000884173298,10,0.015,1.31106557084201e-05,5.85926641399014e-05,"FYN, IGF1R","INSR, MTMR2",17,"Representative"
"GO:0007179","transforming growth factor beta receptor signaling pathway",3.38491464327008,10,0.0275,1.65975590170358e-05,0.00242609413086409,"COL1A2, COL3A1, FOS, JUN, SMAD3, PTK2, TGFBR2","BMPR1A, ITGB1, TGFBR3, FERMT2",18,"Representative"
"GO:2000810","regulation of bicellular tight junction assembly",11.4295819123405,10,0.0425,2.2277281299891e-05,0.00247221518373698,"","MYO1C, PRKACA, PRKCH, TJP1",19,"Representative"
"GO:1903243","negative regulation of cardiac muscle hypertrophy in response to stress",11.4295819123405,10,0.015,2.2277281299891e-05,0.025280506656745,"LMNA","ATP2B4, FOXO1, PPARG",20,"Representative"
"GO:0048013","ephrin receptor signaling pathway",3.78411833584247,9,0.005,4.46005219014534e-05,5.53135124915941e-05,"FYN, MMP2, PTK2","CRK, EFNA5, SIPA1L1, ARHGEF28",21,"Representative"
"GO:0051893","regulation of focal adhesion assembly",6.66725611553198,10,0.05,4.46272905506375e-05,0.00250200480517309,"PTK2","RHOA, EFNA5, VCL, ROCK2, LIMCH1, CORO1C",22,"Representative"
