"","ID","Term_Description","Fold_Enrichment_A","occurrence_A","support_A","lowest_p_A","highest_p_A","Up_regulated_A","Down_regulated_A","Fold_Enrichment_B","occurrence_B","support_B","lowest_p_B","highest_p_B","Up_regulated_B","Down_regulated_B","combined_p","status"
"1","GO:0000165","MAPK cascade",2.68462588263217,1,0.005,0.0224406903051531,0.0224406903051531,"FGFR1, MBP, NF1, LRRK2","DUSP6, PABPN1",3.50908216606946,10,0.01,0.00121485855685216,0.00132480470450791,"ZFP36L1, FGFR1, MBP, NF1, ZFP36, LRRK2","DUSP6, FGF13, PTPN3, PABPN1",0.000313788858454758,"common"
"2","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2.2177344247831,2,0.00518190361122298,0.00357925337782876,0.00357925337782876,"SMG6","CTIF",NA,NA,NA,NA,NA,NA,NA,0.00357925337782876,"A only"
"3","GO:0000209","protein polyubiquitination",NA,NA,NA,NA,NA,NA,NA,1.68689612561652,2,0.005,0.0111556384085135,0.0111556384085135,"CTNNB1, FBXL7, SASH1","BCL2, LNPEP, SMURF1, SHPRH",0.0111556384085135,"B only"
"4","GO:0000226","microtubule cytoskeleton organization",2.94276298673142,7,0.005,0.0462581172218411,0.0492583941690701,"EML1","MAPT, PCNT, ULK4, TAOK1, PHLDB2",1.92324695640346,1,0.005,0.00378309309111754,0.00378309309111754,"EML1","MAPT, MARK1, MID1, PHLDB2",0.00168886610705289,"common"
"5","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",NA,NA,NA,NA,NA,NA,NA,2.38116289840428,10,0.025,0.000115203946717235,0.00394340633773005,"DDX5, HNRNPU","REST, THRAP3, RBPMS",0.000115203946717235,"B only"
"6","GO:0001502","cartilage condensation",12.7519729425028,1,0.0104712041884817,0.0346062522306447,0.0346062522306447,"MGP","SOX5, SOX6",NA,NA,NA,NA,NA,NA,NA,0.0346062522306447,"A only"
"7","GO:0001504","neurotransmitter uptake",NA,NA,NA,NA,NA,NA,NA,8.5721864342554,1,0.005,0.0264138216602594,0.0264138216602594,"","ATP1A2, SLC29A1, SLC1A3",0.0264138216602594,"B only"
"8","GO:0001525","angiogenesis",NA,NA,NA,NA,NA,NA,NA,2.50022104332449,3,0.005,0.0146737105741478,0.0146737105741478,"RBPJ, PTK2, RORA","BMPR1A, MCAM, SAT1, SRPK2, VEGFA, PXDN, CALCRL",0.0146737105741478,"B only"
"9","GO:0001569","branching involved in blood vessel morphogenesis",6.8010522360015,2,0.005,0.010629415201635,0.010629415201635,"CTNNB1, TGFBR2, NRP1","COL4A1",5.33380489242558,3,0.005,0.00295020412167668,0.0364059247623144,"CTNNB1, TGFBR2","COL4A1, VEGFA",0.000356551544961716,"common"
"10","GO:0001666","response to hypoxia",2.42894722714339,6,0.00501256281407035,0.00219754560425436,0.00239220602396582,"EGR1, SMAD3, NF1","CAV1, ITPR1, ITPR2",2.85739547808513,9,0.005,0.00305904795589954,0.0247919232338552,"EGR1, SMAD3, NF1","CAV1, ITPR1, ITPR2, REST, VEGFA, WTIP",8.67865920354228e-05,"common"
"11","GO:0001774","microglial cell activation",3.40052611800075,10,0.00507627293341579,0.00124685038781924,0.0198281800198266,"APP","MAPT",2.66690244621279,1,0.005,0.0316311997556331,0.0316311997556331,"APP","MAPT",0.00043938404099172,"common"
"12","GO:0001837","epithelial to mesenchymal transition",3.64342084071509,6,0.00756410256410256,0.00456548585162879,0.0405436983447319,"CTNNB1, FGFR1, RBPJ, TGFBR2","LIMS1, TGFBR3",3.80986063744684,10,0.025,0.0003872140811503,0.007077951703382,"CTNNB1, DDX5, FGFR1, RBPJ, TGFBR2","LIMS1, TGFBR3, ROCK2",2.51839508875865e-05,"common"
"13","GO:0001932","regulation of protein phosphorylation",3.06047350620068,1,0.005,0.0460128697278777,0.0460128697278777,"FN1, PTK2","FNIP2",3.20028293545535,2,0.005,0.0200256627455155,0.0200256627455155,"FN1, PTK2","CORO1C, FNIP2",0.0073618995441549,"common"
"14","GO:0001933","negative regulation of protein phosphorylation",NA,NA,NA,NA,NA,NA,NA,3.83012585360348,10,0.0075,0.00194885847983542,0.0270621734809563,"FBLN1, SLIT2, WWTR1, PID1, MYADM, LRRK2","PTEN, CHP1, CORO1C",0.00194885847983543,"B only"
"15","GO:0001934","positive regulation of protein phosphorylation",2.44837880496054,5,0.00512820512820513,0.0121798441606539,0.0170991096967915,"APP, C3, CCND3, PTK2, SLCO3A1, FAM20A, ITLN1, LRRK2","ANGPT1, INSR, ADIPOQ, LIMCH1",2.08018390804598,10,0.015,0.00158601698917724,0.00858176041207995,"APP, C3, CCND3, EGFR, PTK2, SLCO3A1, LRRK2","ANGPT1, INSR, VEGFA, ADIPOQ, ROCK2, LIMCH1",0.000228998633253535,"common"
"16","GO:0002042","cell migration involved in sprouting angiogenesis",7.96998308906426,3,0.01,0.00402925209315936,0.028702241180027,"NR4A1, NRP1, SLIT2","FGF2, MIA3",6.25055260831123,10,0.005,0.0105292028035232,0.0426997767071772,"NR4A1, SLIT2","GPLD1, VEGFA, MIA3",0.000469548370426628,"common"
"17","GO:0002755","MyD88-dependent toll-like receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA,2.85739547808513,5,0.005,0.00738634400093367,0.00793742242856196,"","IRAK2, TNIP1",0.00738634400093367,"B only"
"18","GO:0003148","outflow tract septum morphogenesis",NA,NA,NA,NA,NA,NA,NA,7.20063660477454,4,0.005,0.008786953454821,0.03123630447166,"ROBO2, TGFBR2, ZFPM2","BMPR1A, FGF8, SMAD6, NRP2, SEMA3C, PARVA",0.008786953454821,"B only"
"19","GO:0003151","outflow tract morphogenesis",NA,NA,NA,NA,NA,NA,NA,3.59006098528645,1,0.005,0.0477666103255869,0.0477666103255869,"CTNNB1, ELN, RBPJ, TGFBR2","BMPR1A, TGFBR3, VEGFA",0.0477666103255869,"B only"
"20","GO:0003254","regulation of membrane depolarization",15.3023675310034,9,0.0102040816326531,0.000220680524081367,0.000289877997712957,"CAMK2D","FHL1, NEDD4L",12.0010610079576,10,0.01,0.00055121449187623,0.000580705261433667,"CAMK2D","FHL1, NEDD4L",2.05845307283866e-06,"common"
"21","GO:0005977","glycogen metabolic process",7.28684168143018,1,0.0050251256281407,0.0435286721297749,0.0435286721297749,"","GBE1, PYGL",NA,NA,NA,NA,NA,NA,NA,0.0435286721297749,"A only"
