"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:0001837","epithelial to mesenchymal transition",3.27794404940423,9.5,0.02,0.0004537915244773,0.0195280429275413,"DDX5, LIMS1, ROCK2, TGFBR3","CTNNB1, FGFR1, RBPJ, TGFBR2, DDX5",3,"Representative"
"GO:0034446","substrate adhesion-dependent cell spreading",5.92337048728893,10,0.0125,0.00090384965474943,0.00561698579138929,"TYRO3, FERMT2, PARVA, RHOA","FER, FN1, LAMC1, PIK3R1, SRGAP2, RADIL, ANTXR1",5,"Representative"
"GO:0070836","caveola assembly",12.862656708315,9,0.01,0.00176127338351206,0.0222109847658813,"CAV1, CAV2","EMP2, PACSIN2, CAV2",6,"Representative"
"GO:1902895","positive regulation of miRNA transcription",3.27581482299994,10,0.02,8.64621134973884e-10,0.00086385325074531,"PPARG, TEAD1, NR3C1","EGR1, FOS, SMAD3, STAT3, EGFR, JUN, KLF4",12,"Representative"
"GO:0006468","protein phosphorylation",2.33563925933225,10,0.025,1.94926190322828e-17,4.72960103179383e-10,"INSR, IRAK2, LIPE, MAP3K5, MYLK, PRKCH, PKN2, MAPK10, KALRN, ROCK2, HIPK3, STK38L, SIK2, DAPK2, SGK3, STK39, HIPK2, SNRK, FNIP2, BCR, MAP3K8, MARK1, PRKACA, PRKCD, MAP2K1, MAP4K3, TRIB1","APP, CAMK2D, FER, PRKCA, PRKCE, PRKG1, STK3, DCLK1, RPS6KA5, CDC42BPB, AKT3, STK38, SIK3, LRRK2, JAK1, CDK17, PRKCG, YWHAZ, MAP4K4, HIPK3",13,"Representative"
"GO:0006897","endocytosis",4.48281385132011,10,0.015,1.76663869722858e-07,0.00373219025751935,"SORT1, PICALM, TBC1D2B, HOOK2, LDLR","AMPH, APP, DNM1, DPYSL2, LRRK2, SCARA5, DENND1A",15,"Representative"
"GO:2000811","negative regulation of anoikis",8.03357122338561,10,0.05,1.9333199885395e-07,0.00020732014845884,"BCL2, CAV1, ITGB1, PDK4, TLE1","MCL1, PTK2",16,"Representative"
"GO:0030036","actin cytoskeleton organization",3.50718210354088,10,0.015,8.01277273023329e-07,0.00492708031749578,"ANXA1, DMTN, SPTBN1, ROCK2, DLC1, MRAS, KANK1, SIPA1L1, SSH2, FGD4, RHOA, CRK, TJP1, MTSS1, SPIRE1","ABL1, FER, FGF7, NF1, PRKG1, TNXB, EZR, CDC42BPB, ELMO1, AUTS2, ANTXR1, FGD5, FGF10, PDLIM1",17,"Representative"
"GO:0016477","cell migration",3.11049069541524,10,0.0925,5.03206976114519e-08,0.00033147775985786,"ITGB1, PIK3CB, PTPRF, THBS1, ITGB1BP1, GPC6, USP33, SH3KBP1, LIMA1, ADAMTS12, RHOA, PTEN, TGFBR3","CD44, CD47, CDH11, COL5A1, EMP2, FGFR1, LAMC1, PTK2, PXN, IQGAP1, CDC42BPB, ASAP3, NFATC2",19,"Representative"
"GO:0007229","integrin-mediated signaling pathway",4.17247077505374,10,0.02,2.2711075873693e-06,0.0136577622050086,"ITGB1, ITGB1BP1, FERMT2, NRP1","ABL1, CD47, COL3A1, DOCK1, FBLN1, FN1, PTK2, PTPRA, ITGA11, ADAMTS1",20,"Representative"
"GO:0042060","wound healing",5.45910631396088,10,0.01,0.00014351812143115,0.0140386146968665,"FGF2, CFLAR, EPB41L4B, MIA3, TSKU","COL3A1, IGF1, SMAD3, NF1, PDGFRA, PPP3CA, TPM1, FGF10",23,"Representative"
"GO:0032869","cellular response to insulin stimulus",4.17409672976247,10,0.015,9.89210224905612e-09,6.5256303651666e-07,"AKT2, FOXO1, GPLD1, INSR, PCK1, PDE3B, PPARG, IRS2, ADIPOQ, TBC1D4, SORBS1, SLC25A33","PIK3R1, ZFP36L1",25,"Representative"
"GO:0010506","regulation of autophagy",3.82737317947786,10,0.01,0.00185389347236666,0.0403754209262292,"BOK, ITPR1, MAPT, UVRAG, USP33, DAPK2, ACER2","ABL1, IFI16, PIP4K2A, LRRK2",27,"Representative"
"GO:0045599","negative regulation of fat cell differentiation",4.72836662380525,10,0.015,1.95022107912857e-05,0.00221429622303396,"FOXO1, ADIPOQ, YAP1, FERMT2","ZFP36L2, RUNX1T1, SMAD3, RORA, WWTR1",29,"Representative"
"GO:1902894","negative regulation of miRNA transcription",3.99183663273819,10,0.01,0.00014299032564789,0.0235288872097671,"PPARA, PPARG, TWIST1, REST","SMAD3, NCOR2",30,"Representative"
"GO:0016925","protein sumoylation",2.04027205673285,10,0.005,0.00018833228375579,0.0245003883287779,"EYA1, UBA2","HDAC4, HDAC7",31,"Representative"
"GO:0030335","positive regulation of cell migration",2.69730882076546,10,0.1075,8.59576749833e-11,5.10251850356674e-06,"AKT2, CAV1, INSR, ITGB1, MYLK, MYO1C, THBS1, TWIST1, FZD4, ROCK2, FERMT2, SH3RF2, TJP1, VEGFA, DAAM2, TWIST2","COL1A1, FER, IGF1, IGF1R, ROR2, PDGFRA, PDGFRB, PPP3CA, PRKCA, PTK2, STAT3, SPAG9, RUFY3, MYADM, EGFR, MAP4K4",32,"Representative"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",2.26268878397904,10,0.01,0.00011727703878458,0.0194498005760851,"ADRA1A, ANGPT1, CD36, FGF2, HMGB1, PDE8A, RAPGEF2, FERMT2, MTURN, MAP2K1, NRP1","APP, CD44, IGF1, PDGFRA, PDGFRB, PLA2G2A, PRKCA, RAP1A, BMPER, EGFR",38,"Representative"
"GO:0035556","intracellular signal transduction",2.9752773933674,9.5,0.005,1.40846784667512e-06,0.0352977668569705,"ADRA1A, CSPG4, PLCL1, PRKAR2A, PRKAR2B, ANP32A, KALRN, ITGB1BP1, RAPGEF2, ARFGEF2, STK38L, SIK2, DAPK2, STK39, MARK1, TGFBR3, MAP4K3, PRKAG2, DAB2IP","FER, FYN, STK3, RPS6KA5, STK38, LRRK2, DDX3X, NFATC1, PLCG2, NR4A3, MAP4K4, SH3BP5",40,"Representative"
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction",2.52371882634465,10,0.015,4.50571792859554e-06,0.0181521743384688,"PIK3CB, TYRO3, PTEN, GAB2","NF1, PIK3R1, STAT3, ZFP36L1",44,"Representative"
"GO:0043536","positive regulation of blood vessel endothelial cell migration",3.90537384008833,10,0.01,8.4911510682714e-05,0.0160111302839876,"ANGPT1, FGF2, HMGB1, SP1, STAT5A, THBS1, VEGFA","FGFR1, PRKCA, TMSB4X, AKT3",45,"Representative"
