"","ID","Term_Description","Fold_Enrichment_A","occurrence_A","support_A","lowest_p_A","highest_p_A","Up_regulated_A","Down_regulated_A","Fold_Enrichment_B","occurrence_B","support_B","lowest_p_B","highest_p_B","Up_regulated_B","Down_regulated_B","combined_p","status"
"1","GO:0000165","MAPK cascade",2.91345410835408,10,0.01,0.00132480470450791,0.00233341224845309,"DUSP6, FGF13, MAP3K5, PTPN3, PABPN1","FGFR1, MBP, NF1, LRRK2",3.20579315817816,10,0.005,4.10601038260828e-05,0.00199838554230691,"DUSP6, FGF13, PTPN3, PABPN1","ZFP36L1, FGFR1, MBP, NF1, ZFP36, LRRK2",9.64286893056002e-07,"common"
"2","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",NA,NA,NA,NA,NA,NA,NA,1.58895834796657,1,0.005,0.018614295510751,0.018614295510751,"CTIF","SMG6",0.018614295510751,"B only"
"3","GO:0000209","protein polyubiquitination",2.00080583344798,4,0.005,0.0391102962042968,0.0481528013773271,"BCL2, ERCC8, LNPEP, RNF125, FBXL17, SHPRH","CTNNB1, FBXL7, SASH1",1.54109815676275,2,0.005,0.0170004332945031,0.0170004332945031,"BCL2, LNPEP, SMURF1, SHPRH","CTNNB1, FBXL7, SASH1",0.00552916589858056,"common"
"4","GO:0000226","microtubule cytoskeleton organization",NA,NA,NA,NA,NA,NA,NA,2.45982975021747,10,0.005,0.0309893935663234,0.0380618749604366,"MAPT, MARK1, MID1, PHLDB2","EML1, FER, ATXN7",0.0309893935663234,"B only"
"5","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",NA,NA,NA,NA,NA,NA,NA,2.61043157165936,10,0.025,0.0003872140811503,0.00526476542060296,"REST, THRAP3, RBPMS","DDX5, HNRNPU, NOVA1",0.0003872140811503,"B only"
"6","GO:0001525","angiogenesis",NA,NA,NA,NA,NA,NA,NA,2.28412762520194,2,0.005,0.0241571691113454,0.030307770376969,"BMPR1A, MCAM, SAT1, VEGFA, PXDN, NRP1, CALCRL","RBPJ, PTK2, RORA",0.0241571691113454,"B only"
"7","GO:0001569","branching involved in blood vessel morphogenesis",3.69037520391517,5,0.005,0.0198281800198266,0.0209637650615653,"COL4A1","CTNNB1, TGFBR2",6.0910070005385,5,0.005,0.00439811280661986,0.0364059247623144,"COL4A1, VEGFA, NRP1","CTNNB1, TGFBR2",0.000902346537707731,"common"
"8","GO:0001649","osteoblast differentiation",1.78566542124928,1,0.005,0.0468583982775369,0.0468583982775369,"LGR4","CTNNB1, NF1",NA,NA,NA,NA,NA,NA,NA,0.046858398277537,"A only"
"9","GO:0001666","response to hypoxia",2.05020844661954,9,0.005,0.0128466158376422,0.0136204167366752,"BNIP3, CAV1, ITPR1, ITPR2","EGR1, SMAD3, NF1",2.90047952406595,8,0.0075,0.00057345108074002,0.0260835764496576,"CAV1, ITPR1, ITPR2, REST, VEGFA, WTIP","CREBBP, EGR1, SMAD3, NF1",9.44327753679683e-05,"common"
"10","GO:0001678","intracellular glucose homeostasis",2.30648450244698,1,0.005,0.00592844607160936,0.00592844607160936,"FOXO1","PIK3R1",NA,NA,NA,NA,NA,NA,NA,0.00592844607160936,"A only"
"11","GO:0001774","microglial cell activation",NA,NA,NA,NA,NA,NA,NA,3.6546042003231,10,0.01,0.0233623595003791,0.0316311997556331,"IFNGR1, MAPT","APP",0.0233623595003791,"B only"
"12","GO:0001837","epithelial to mesenchymal transition",3.07531266992931,10,0.0375,0.000453791524477304,0.00972970533422322,"DDX5, LIMS1, ROCK2","CTNNB1, FGFR1, RBPJ, TGFBR2",3.48057542887914,9,0.02,0.0011394403689683,0.0195280429275413,"LIMS1, TGFBR3, ROCK2","CTNNB1, DDX5, FGFR1, RBPJ, TGFBR2",8.00168011298685e-06,"common"
"13","GO:0001932","regulation of protein phosphorylation",2.95230016313214,10,0.005,0.0158473151559877,0.022989542096168,"FNIP2","FER, FN1, PTK2",3.6546042003231,8,0.005,0.00200630269993101,0.03123630447166,"CORO1C, FNIP2","FER, FN1, PTK2",0.000361065364834065,"common"
"14","GO:0001933","negative regulation of protein phosphorylation",NA,NA,NA,NA,NA,NA,NA,3.49908912796893,9,0.01,0.00396407955929362,0.0370919473113597,"PTEN, CHP1, CORO1C","FBLN1, SLIT2, WWTR1, PID1, MYADM, LRRK2",0.00396407955929362,"B only"
"15","GO:0001934","positive regulation of protein phosphorylation",NA,NA,NA,NA,NA,NA,NA,2.33894668820679,10,0.03,6.55596504817017e-05,0.00458203707279378,"ANGPT1, INSR, VEGFA, ADIPOQ, ROCK2, LIMCH1","ABL1, ACVR2A, APP, C3, CCND2, CCND3, EGFR, PTK2, SLCO3A1, LRRK2",6.55596504817017e-05,"B only"
"16","GO:0001937","negative regulation of endothelial cell proliferation",4.61296900489396,5,0.01,0.0161151088758235,0.0499351774511877,"CAV1, CAV2, PTPRM, SPARC, THBS1","NF1, SULF1",4.56825525040388,6,0.005,0.00367805120744874,0.0207853800699579,"CAV1, PTPRM, SPARC, RGCC","CAV2, NF1, SULF1",0.000636190420815459,"common"
"17","GO:0002042","cell migration involved in sprouting angiogenesis",NA,NA,NA,NA,NA,NA,NA,6.85238287560582,8,0.005,0.0139917330503368,0.0388533466833341,"GPLD1, VEGFA, NRP1, MIA3","NR4A1, SLIT2",0.0139917330503368,"B only"
"18","GO:0002223","stimulatory C-type lectin receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA,3.22465076499097,2,0.005,0.0427129893880903,0.0470853217408763,"","CREBBP, FYN, PLCG2",0.0427129893880903,"B only"
"19","GO:0002755","MyD88-dependent toll-like receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA,2.61043157165936,7,0.005,0.00793742242856196,0.00911999355724538,"IRAK2, TNIP1","",0.00793742242856196,"B only"
"20","GO:0003148","outflow tract septum morphogenesis",NA,NA,NA,NA,NA,NA,NA,6.57828756058158,5,0.005,0.000651971831679853,0.031256640016181,"BMPR1A, FGF8, SMAD6, NRP2, NRP1, PARVA","ROBO2, TGFBR2, ZFPM2",0.000651971831679853,"B only"
"21","GO:0003254","regulation of membrane depolarization",11.0711256117455,10,0.015,0.000743992994299046,0.000855267870101083,"FHL1, NEDD4L","CAMK2D",10.9638126009693,10,0.01,0.000709165439129822,0.000743992994299046,"FHL1, NEDD4L","CAMK2D",8.15422378660748e-06,"common"
"22","GO:0005977","glycogen metabolic process",5.27196457702167,1,0.005,0.0215683199543624,0.0215683199543624,"GBE1, PYGL","",NA,NA,NA,NA,NA,NA,NA,0.0215683199543624,"A only"
"23","GO:0005978","glycogen biosynthetic process",7.38075040783034,1,0.005,0.0361017006672303,0.0361017006672303,"GBE1, GYS1, UGP2, GYG2","",7.3092084006462,1,0.005,0.0208496763841768,0.0208496763841768,"GBE1, GYS1, UGP2, GYG2","",0.00616606395459462,"common"
"24","GO:0006094","gluconeogenesis",3.81762952129156,10,0.005,0.0293447208458428,0.0440310955734722,"MDH1, PC, PCK1, PFKFB1, PGM1","SLC25A13",3.780625034817,2,0.005,0.0454649573224051,0.0454649573224051,"PC, PCK1, PFKFB1, PGM1, PPARGC1A","SLC25A13",0.0101655466517822,"common"
"25","GO:0006096","glycolytic process",NA,NA,NA,NA,NA,NA,NA,4.21685100037281,1,0.005,0.0181032929718255,0.0181032929718255,"HK2, PFKFB1, PGM1","",0.0181032929718255,"B only"
"26","GO:0006171","cAMP biosynthetic process",8.20083378647816,8,0.005,0.000119903036351742,0.00171560049434736,"ADCY5, ADCY6","ADCY3, ADCY9",8.12134266738467,6,0.005,0.000194908843874602,0.00197842902507356,"ADCY5, ADCY6","ADCY3, ADCY9",4.34026112541232e-07,"common"
"27","GO:0006338","chromatin remodeling",NA,NA,NA,NA,NA,NA,NA,1.38199318499613,10,0.0075,0.00151618891171817,0.0273090821317804,"REST, SMARCA2, MBD2, PBRM1, ZNF827","CHD1, BPTF, HDAC4, BAZ2B",0.00151618891171817,"B only"
"28","GO:0006346","DNA methylation-dependent heterochromatin formation",3.35488654901379,2,0.005,0.000754279168290527,0.0494770995904471,"MBD2","DNMT3A",NA,NA,NA,NA,NA,NA,NA,0.000754279168290527,"A only"
"29","GO:0006355","regulation of DNA-templated transcription",1.57921461428802,10,0.025,7.51648358596803e-05,0.000880572240656255,"ATF2, ESR2, ESRRG, INSR, RREB1, SMARCA2, SP1, ATF7, JADE1, PPARGC1B","ABL1, ZFHX3, GLI2, GLI3, SMAD3, RORA, STAT3, RPS6KA5, ERC1",1.97546172990438,10,0.05,1.29210291437011e-10,3.62157841068688e-06,"ESR2, ESRRG, NR3C1, INSR, RREB1, SMARCA2, SP1, PPARGC1A, ATF7, JADE1, ASCC2, PPARGC1B","ABL1, ZFHX3, CREBBP, BPTF, FUS, GLI2, GLI3, SMAD3, NFATC2, RORA, RPS6KA5, ERC1",3.23075972110404e-13,"common"
"30","GO:0006357","regulation of transcription by RNA polymerase II",1.30366515355699,10,0.04,0.000132203884586572,0.000170687151256361,"ATF2, DDX5, MNAT1, PPARG, SOS1, TCF7L2, TFCP2","CAMK2D, ELF2, FOS, RBPJ, SMAD3, STAT3",1.78757814146239,10,0.04,2.05726838238847e-06,4.44041663151466e-05,"CRK, MNAT1, PPARG, SOS1, TCF7L2, TRAK1","ATF3, CAMK2D, DDX5, ELF2, BPTF, FOS, FUS, RBPJ, JUN, SMAD3, RFX2, ATXN7",6.2623942272016e-09,"common"
"31","GO:0006396","RNA processing",NA,NA,NA,NA,NA,NA,NA,2.92368336025848,10,0.03,1.82544764407589e-05,0.00283546074109511,"PABPN1, CELF2, RBPMS","HNRNPU, NOVA1, RBMS1, RBM39, HNRNPUL1",1.82544764407589e-05,"B only"
"32","GO:0006397","mRNA processing",NA,NA,NA,NA,NA,NA,NA,2.81123400024854,10,0.025,0.000263763820801258,0.0066583891447729,"PRKACA, SRSF4, CELF1, PPARGC1A","HNRNPA2B1, SRSF7",0.000263763820801258,"B only"
"33","GO:0006468","protein phosphorylation",2.18247995930467,10,0.025,8.86323136556246e-11,4.72960103179383e-10,"INSR, IRAK2, LIPE, MAP3K5, MYLK, PRKCH, PKN2, MAPK10, KALRN, ROCK2, HIPK3, STK38L, SIK2, DAPK2, SGK3, STK39, HIPK2, SNRK, FNIP2","APP, CAMK2D, FER, PRKCA, PRKCE, PRKG1, STK3, DCLK1, RPS6KA5, CDC42BPB, AKT3, STK38, SIK3, LRRK2",2.48879855935982,10,0.07,1.94926190322828e-17,2.34014618208028e-12,"BCR, MAP3K8, INSR, IRAK2, LIPE, MARK1, MYLK, PRKACA, PRKCD, PRKCH, PKN2, MAPK10, MAP2K1, MAP4K3, ROCK2, TRIB1, STK38L, SIK2, DAPK2, HIPK2, SNRK, FNIP2","APP, CAMK2D, FER, JAK1, CDK17, PRKCA, PRKCG, PRKG1, YWHAZ, DCLK1, RPS6KA5, MAP4K4, AKT3, HIPK3, STK38, LRRK2",1.0819228463914e-25,"common"
"34","GO:0006470","protein dephosphorylation",3.2699527123299,7,0.005,0.0124922065046616,0.0437343601558732,"PPM1B, PPP2R5A, PPP6C, PTPN3, PTPN14, PTPRM, PTPRS, CDC14B, SSH2","PPP3CA, PTPN9, PTPN12, PTPRD, PTPRE",3.46956094967383,7,0.015,0.00112535163621981,0.0482101063353824,"PPM1B, PPP2R3A, PPP2R5A, PPP6C, PTEN, PTPN3, PTPN4, PTPN14, PTPRM, PTPRS, SSH2","PPP3CA, PTPN9, PTPN12, PTPRD",0.000171119856381507,"common"
"35","GO:0006473","protein acetylation",NA,NA,NA,NA,NA,NA,NA,2.81123400024854,2,0.005,0.0199617347588707,0.0492879751501892,"FOXO1","CREBBP",0.0199617347588707,"B only"
"36","GO:0006511","ubiquitin-dependent protein catabolic process",NA,NA,NA,NA,NA,NA,NA,1.18848917083678,2,0.005,0.00229795392921069,0.00229795392921069,"CBL, USP33, NEDD4L, NPLOC4, SMURF1, UBR3","SMURF2, SPSB1",0.00229795392921069,"B only"
"37","GO:0006635","fatty acid beta-oxidation",4.78381970877893,7,0.005,0.000731197169501391,0.0430260479284547,"ACADM, ABCD2, DECR1, EHHADH, HADH, ADIPOQ, ACAD10","",4.73744988930772,2,0.0075,1.15593188632912e-05,0.0105515792487439,"ABCD2, EHHADH, HADHA, HADHB, HADH, ADIPOQ, ACAD10","",1.65567693236777e-07,"common"
"38","GO:0006734","NADH metabolic process",11.0711256117455,9,0.01,0.00169922376223002,0.0222109847658813,"MDH1, ME1, PC","",NA,NA,NA,NA,NA,NA,NA,0.00169922376223002,"A only"
"39","GO:0006739","NADP metabolic process",9.22593800978793,7,0.005,0.00338932262422575,0.0441364454648327,"MDH1, ME1, PC","",NA,NA,NA,NA,NA,NA,NA,0.00338932262422575,"A only"
"40","GO:0006897","endocytosis",4.2911339580409,10,0.0175,1.76663869722858e-07,0.00137086755843662,"SORT1, PICALM, TBC1D2B, HOOK2","AMPH, APP, DNM1, DPYSL2, LRRK2, SCARA5",4.67449374459932,10,0.015,0.000352834150873092,0.00373219025751935,"LDLR, SORT1, PICALM, TBC1D2B, HOOK2","APP, DNM1, DPYSL2, DENND1A, LRRK2, SCARA5",1.52706797075351e-09,"common"
"41","GO:0006909","phagocytosis",2.63598228851084,1,0.005,0.0452211165348639,0.0452211165348639,"ANXA1, ITGB1","AXL, LRP1",3.2630394645742,10,0.015,0.000703570914194857,0.0342527265832739,"ANXA1, ITGB1, LDLR, CORO1C","AXL",0.000361290616683205,"common"
"42","GO:0006954","inflammatory response",2.0157511618024,10,0.005,0.00617294674394344,0.0300276298800883,"ANXA1, CDO1, HMGB1, IRAK2, THBS1, AOC3, TXNIP, F11R","FOS, HSPG2, STAT3, HDAC4, NOX4",NA,NA,NA,NA,NA,NA,NA,0.00617294674394344,"A only"
"43","GO:0006974","DNA damage response",1.41298149699455,5,0.005,0.00308672783268745,0.0097451508593511,"BCL2, BCL6, ERCC8, ATF2, FOXO1, MAPT, UBE2E2, YAP1, NSMCE4A, TAOK1, ZRANB3, MACROD2, SHPRH, ACER2","ABL1, MCL1, SAMHD1",1.31697448660292,10,0.015,3.85199176727857e-05,0.000724556007307742,"BCL2, FOXO1, MAPT, PRKCD, UBE2E2, YAP1, POLK, USP47, MACROD2, SHPRH, ACER2","ABL1, MCL1, NFATC2, SMC5, SAMHD1",2.01476648692884e-06,"common"
"44","GO:0007010","cytoskeleton organization",2.56276055827442,9,0.005,0.00622288295964269,0.0108485838666797,"DMTN, SH3KBP1, FGD4, SYNE3","DST, DPYSL2, TPM1, CDC42BPB, SIPA1L3, FGD5",3.29929545862502,2,0.0075,0.0264039227753363,0.0313026133492456,"MARK1, WASF3, SH3KBP1, MICAL3, LARP4, FMNL2, FGD4, WTIP, SH3D19, SYNE3","DST, DPYSL2, FGD5",0.00159605430749546,"common"
"45","GO:0007015","actin filament organization",2.70027453945013,10,0.0075,0.00384652936550068,0.0437343601558732,"ACTN1, DLG1, ARHGEF2","EMP2, GSN, RUFY3",NA,NA,NA,NA,NA,NA,NA,0.00384652936550068,"A only"
"46","GO:0007030","Golgi organization",2.17080894347951,7,0.005,1.10696375610072e-05,0.0001191014317056,"RAB2A, ARHGEF7, USP6NL, NPLOC4","SYNE1, ARHGAP21, LRRK2, VPS13B",2.14976717666065,7,0.005,9.37051122678006e-05,0.0454809882728801,"GOLGB1, RAB2A, USP6NL, NPLOC4","SYNE1, DYNC2H1, LRRK2, VPS13B",2.24951764938889e-08,"common"
"47","GO:0007031","peroxisome organization",3.45972675367047,7,0.005,0.0159746545552343,0.0159746545552343,"PEX14, PEX11A, TMEM135","",3.42619143780291,9,0.005,0.0192845138879552,0.020480961110795,"PEX14, PEX11A, TMEM135","",0.00279881951227902,"common"
"48","GO:0007155","cell adhesion",2.46025013594345,10,0.0175,5.26619454332616e-05,0.0238507281529673,"ITGB1, PTPRF, PXDN, AOC3, MAGI1, CD96, FERMT2","CD44, CDH11, COL5A1, CTNNB1, EMP2, LAMC1, DDR2, CXCL12, TNXB, PPFIBP1, ITGA11, CLSTN1, CDON",2.4364028002154,10,0.025,7.28209300086538e-06,0.000686702733213831,"ITGB1, PTPRF, VCL, PXDN, AOC3, MAGI1, FERMT2","ATP2A2, CD44, CDH11, COL5A1, CTNNB1, IGFBP7, LAMC1, DDR2, CXCL12, TNXB, PPFIBP1, ITGA11, CDON",8.69819034961258e-09,"common"
