"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:0006468","protein phosphorylation",2.48879855935982,10,0.07,1.94926190322828e-17,2.34014618208028e-12,"BCR, MAP3K8, INSR, IRAK2, LIPE, MARK1, MYLK, PRKACA, PRKCD, PRKCH, PKN2, MAPK10, MAP2K1, MAP4K3, ROCK2, TRIB1, STK38L, SIK2, DAPK2, HIPK2, SNRK, FNIP2","APP, CAMK2D, FER, JAK1, CDK17, PRKCA, PRKCG, PRKG1, YWHAZ, DCLK1, RPS6KA5, MAP4K4, AKT3, HIPK3, STK38, LRRK2",1,"Representative"
"GO:0051056","regulation of small GTPase mediated signal transduction",4.12038708859957,10,0.0125,1.34070320391362e-10,0.000607790195501807,"BCR, RASGRF2, ITSN1, FAM13A, NET1, DLC1, ARHGEF40, ARHGAP31, ARHGAP20, ARHGEF28, ARHGAP28, DOCK8, STARD13, FGD4","ARHGAP6, MYO9A, AKAP13, ARHGAP26, ARHGEF12, SRGAP2, ARHGEF3, PLEKHG1, FGD5",3,"Representative"
"GO:1902895","positive regulation of miRNA transcription",3.91564735748904,10,0.11,8.64621134973884e-10,1.98624969341392e-07,"NR3C1, PPARG, TEAD1","EGFR, EGR1, FOS, JUN, SMAD3, KLF4",5,"Representative"
"GO:0043547","positive regulation of GTPase activity",3.2128388574269,10,0.0175,1.58285140177484e-08,6.32509093423139e-05,"ITGB1, LIMS1, BCAR3, RAPGEF2, USP6NL, NET1, FERMT2, DOCK8, DOCK11","CAV2, NF1, RAP1A, MAP4K4, DOCK9, SRGAP2, ASAP3",6,"Representative"
"GO:0016477","cell migration",2.94726145187347,10,0.105,5.03206976114519e-08,6.20011856594527e-05,"RHOA, ITGB1, PIK3CB, PTEN, PTPRF, TGFBR3, ITGB1BP1, USP33, SH3KBP1, LIMA1, ADAMTS12","CD44, CDH11, COL5A1, FGFR1, LAMC1, NFATC2, PTK2, IQGAP1, ASAP3",7,"Representative"
"GO:0071385","cellular response to glucocorticoid stimulus",10.6592622509424,10,0.045,3.53976582751197e-07,9.19398075588463e-05,"ANXA1, NR3C1, REST","ZFP36L1, ZFP36L2, HNRNPU, ZFP36",8,"Representative"
"GO:0032869","cellular response to insulin stimulus",3.98684094580702,10,0.015,5.82270903081141e-07,6.5256303651666e-07,"AKT2, FOXO1, GPLD1, INSR, PCK1, PDE3B, PPARG, IRS2, ADIPOQ, SORBS1, SLC25A33","ZFP36L1",9,"Representative"
"GO:0030036","actin cytoskeleton organization",3.71402865886494,10,0.0325,8.01277273023329e-07,0.000187955248923255,"ANXA1, RHOA, CRK, SPTBN1, TJP1, ROCK2, MTSS1, DLC1, MRAS, KANK1, SIPA1L1, SPIRE1, SSH2, FGD4","ABL1, FER, FGF7, FGF10, NF1, PRKG1, TNXB, PDLIM1, ELMO1, ANTXR1, FGD5",10,"Representative"
"GO:2000811","negative regulation of anoikis",7.99444668820678,10,0.05,1.21683193910524e-06,0.000207320148458846,"BCL2, CAV1, ITGB1, PDK4, TLE1","MCL1, PTK2",11,"Representative"
"GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",6.0910070005385,10,0.02,1.33372408300638e-06,0.000251947782289047,"","ZFP36L1, ZFP36L2, ZFP36, TNRC6B, AGO2",12,"Representative"
