"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KCNB2",1.14518554389952e-226,3.05624373676608,0.682,0.032,3.54515088824975e-222
"DACT2",1.56442643092501e-200,1.59033176241208,0.48,0.01,4.84299490221456e-196
"ADGRD1",1.16379617941914e-195,3.06724841309847,0.89,0.1,3.60276383262783e-191
"ADAMTS16",5.94838530574293e-185,2.47093994719391,0.543,0.022,1.84144163909884e-180
"SPSB4",8.67746569534984e-172,1.65559480795594,0.474,0.016,2.68628305530945e-167
"HUNK",1.12310186614566e-170,2.15994128675988,0.613,0.039,3.47678644702713e-166
"GUCY1A2",3.01786127998613e-167,2.02698682005748,0.59,0.037,9.34239316445305e-163
"ALDH1A3",1.12803747537747e-166,1.49516524267756,0.422,0.011,3.49206561252604e-162
"STK32B",1.27107436350243e-163,2.41965239134937,0.665,0.056,3.93486490709446e-159
"CNTN4",2.84424371094568e-162,3.35416937306398,0.861,0.122,8.80492525597455e-158
"MFAP5",1.47352889554885e-160,2.83413138785969,0.85,0.12,4.56160340195058e-156
"LINC01133",1.90741935851615e-160,1.53533768118543,0.474,0.019,5.90479810815845e-156
"ITGA11",2.12347109070398e-159,2.22119194130132,0.798,0.092,6.5736294554923e-155
"MIR4435-2HG",2.93904997926737e-142,2.3669411915016,0.769,0.104,9.09841702081801e-138
"CREB5",2.30807678848918e-141,3.74320275178248,0.925,0.205,7.14511331412595e-137
"C17orf58",9.74717309248228e-133,1.29563464876109,0.451,0.024,3.01743237423974e-128
"ADAMTS6",2.26038483525596e-131,3.41813020472568,0.717,0.102,6.99747333450189e-127
"CD55",8.73042491555738e-131,3.57862955472707,0.855,0.184,2.7026776411091e-126
"KIRREL3",3.62781945903361e-120,2.2900037126714,0.434,0.028,1.12306406993304e-115
"EMILIN2",1.38379324064757e-114,1.53020663388297,0.607,0.068,4.28380873507267e-110
"PDE1C",5.14383725259596e-114,1.65661260552928,0.566,0.058,1.59237769828613e-109
"HAS1",2.76320608058187e-111,1.7828819768217,0.387,0.022,8.55405706365728e-107
"MEG8",4.45086662093312e-110,2.8195521959311,0.896,0.227,1.37785477984227e-105
"VASH2",3.95089185247239e-109,1.0578501885699,0.329,0.013,1.22307759076988e-104
"STXBP6",7.96675603261863e-106,1.87812805451479,0.561,0.066,2.46626866501775e-101
"NHSL1",4.95890639574864e-104,2.26716238936037,0.763,0.157,1.53512865293191e-99
"GRK5",3.08092974333791e-103,2.69753993122081,0.89,0.247,9.53763420645116e-99
"CAMK1D",1.16251904268572e-101,2.46145044539662,0.769,0.16,3.59881020044218e-97
"NOVA2",2.95104159092795e-99,0.965749273703257,0.329,0.016,9.13553945303566e-95
"MEG3",4.87083368982813e-96,2.26345638673278,0.954,0.297,1.50786398536009e-91
"GALNT17",5.14670820288021e-96,2.05258878478839,0.457,0.044,1.59326645836563e-91
"FBN1",6.17141179956784e-93,2.75293161421458,0.988,0.821,1.91048395079222e-88
"GFPT2",6.18646281945482e-93,2.43924819168068,0.902,0.249,1.91514329501863e-88
"SCARA5",3.56319239596457e-91,1.69324095760449,0.688,0.12,1.10305747001875e-86
"GAS7",3.55921206502217e-90,2.68141522563626,0.965,0.359,1.10182527896891e-85
"SDK1",4.59793806720986e-85,2.73694470507938,0.936,0.414,1.42338368746616e-80
"SMURF2",7.59684929786858e-85,2.67419733761409,0.925,0.463,2.35175663714118e-80
"TNXB",5.43113959765048e-84,2.20847181037622,0.965,0.417,1.68131788524466e-79
"PTGIS",6.38581367547565e-84,1.95807023780093,0.769,0.174,1.976856339517e-79
"VCAN",1.10286477900638e-82,1.887068308969,0.682,0.134,3.41413849637006e-78
"CYTOR",1.52160343957775e-79,1.8182303092319,0.601,0.114,4.71042776790085e-75
"BDKRB2",5.7794738948608e-79,1.36987736633947,0.48,0.061,1.78915173363206e-74
"HRH1",1.47125475858022e-77,1.44763082342022,0.428,0.05,4.55456335613678e-73
"COL12A1",1.79030747054386e-77,1.81320063083865,0.705,0.158,5.54225483656263e-73
"PI16",5.69971951813518e-77,1.5179562809347,0.526,0.082,1.76446217122911e-72
"GALNT16",1.7074733324785e-75,1.04312133715331,0.312,0.023,5.2858251953537e-71
"PAMR1",5.20616607975178e-75,1.17054544629971,0.445,0.054,1.61167283330876e-70
"AXL",9.14911903479824e-74,1.99451040827875,0.844,0.272,2.83229277960249e-69
"DBN1",2.97306248868236e-72,0.924474654887802,0.364,0.036,9.20370954621399e-68
"DST",1.65146044249763e-71,1.84022129522554,0.948,0.555,5.11242609183992e-67
"LTBP1",5.5393056406552e-71,1.75418263277799,0.543,0.097,1.71480284717763e-66
"SEMA3C",9.8763539363249e-70,2.82565528042615,0.884,0.477,3.0574228880681e-65
"DOCK4",1.23777805534549e-69,2.06938016743196,0.942,0.497,3.83178952593303e-65
"DPYSL3",2.07018540079748e-68,1.880041523381,0.815,0.257,6.40867294524876e-64
"STON2",4.68442518044747e-68,1.57722832303185,0.642,0.147,1.45015750311112e-63
"FHOD3",6.37659353647083e-68,2.19427004162469,0.827,0.32,1.97400206108527e-63
"PDE10A",1.01459472875533e-67,1.81131971245758,0.642,0.143,3.14088090180788e-63
"GHR",1.93783234909737e-66,-2.11279944947334,0.775,0.967,5.99894760310073e-62
"ANTXR1",6.27150925006403e-66,2.0009767326728,0.792,0.265,1.94147111854232e-61
"MEDAG",2.79406075074012e-64,1.49890035424163,0.613,0.134,8.6495738660662e-60
"COL1A2",4.71517700318945e-63,1.5404420180437,0.867,0.31,1.45967734487736e-58
"IL4R",4.88471616168195e-63,1.16420551882842,0.457,0.07,1.51216158217188e-58
"PCSK6",2.82365904093449e-62,2.46580692397824,0.844,0.361,8.74120129302089e-58
"FN1",1.45960420010336e-61,1.96023693910156,0.705,0.193,4.51849672225999e-57
"SH3PXD2B",1.50781682990759e-60,1.88418785632711,0.665,0.187,4.66774856034492e-56
"MALAT1",8.42508672165995e-60,-0.935104217166117,1,1,2.60815409642427e-55
"HAS2",1.95938827166511e-59,1.54195495655246,0.428,0.066,6.06567827259369e-55
"PTPRS",1.03476181400077e-58,-1.74648605892492,0.769,0.951,3.20331214760217e-54
"ADAL",1.95637678081083e-58,2.3930967728818,0.439,0.078,6.0563556003561e-54
"PDLIM7",3.05434344755721e-58,0.806539797509666,0.358,0.045,9.45533101060287e-54
"ANOS1",5.68576879994759e-58,1.06962976818065,0.324,0.037,1.76014344739977e-53
"DSCAML1",6.86356757285979e-58,1.45456445078951,0.63,0.149,2.1247546135302e-53
"DMD",5.46932648256861e-57,-2.01851512222065,0.844,0.954,1.69313939920877e-52
"PROCR",7.21914821895938e-57,1.18662203857968,0.445,0.078,2.23483171414326e-52
"HTRA3",1.84559699275533e-56,1.48018728035054,0.491,0.093,5.71341461047268e-52
"TBC1D12",3.6448191608705e-55,1.69246331398369,0.74,0.263,1.12832666763068e-50
"ACACB",4.39904271145704e-55,-2.60206610408304,0.821,0.951,1.36181165218576e-50
"FSTL1",6.04889717627441e-55,1.62715974696933,0.931,0.629,1.87255709885927e-50
"BASP1",9.12289504072592e-55,1.12030629397947,0.364,0.05,2.82417461775752e-50
"HDAC7",2.4212354799677e-54,1.24633464608037,0.647,0.179,7.49541867533602e-50
"PLCB1",4.26339404107831e-54,1.72540173421876,0.942,0.65,1.31981889329661e-49
"TRERF1",1.50319625668342e-53,1.30482363925479,0.671,0.182,4.65344465181487e-49
"EPB41L3",1.67361347083257e-53,2.51326993826554,0.821,0.475,5.1810052216564e-49
"BICD1",2.26794854688507e-53,1.3424601896216,0.624,0.173,7.02088831659212e-49
"TRIO",3.91103880071668e-53,1.50938032936273,0.977,0.913,1.21074028153786e-48
"DCLK1",4.16179550808555e-52,1.31160797019567,0.908,0.369,1.28836703543805e-47
"PSD3",6.39100983843655e-51,1.5373431412045,0.827,0.358,1.9784649156848e-46
"AC008050.1",1.58049974393829e-50,1.22429193777218,0.376,0.06,4.89275305730977e-46
"LINC02802",2.8188310526294e-50,0.786781603284654,0.312,0.04,8.72625528962482e-46
"SOX5",3.1975207539362e-50,-1.35366630372363,0.954,0.985,9.89856499796031e-46
"ITPR3",3.36659960832582e-50,0.813461121004749,0.399,0.065,1.04219824074942e-45
"GPSM2",9.19918042454637e-50,0.959943344098009,0.376,0.06,2.84779028402682e-45
"PXN",1.10067047636015e-49,1.18194435795265,0.491,0.107,3.40734559366813e-45
"PDE7A",2.43796289487871e-49,1.58401556137605,0.705,0.254,7.54720173367603e-45
"CD34",2.53654816994972e-49,1.14151333384768,0.549,0.126,7.85239216971334e-45
