"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABCA10",0,3.20552900417813,0.975,0.615,0
"LAMA2",1.33990764416269e-294,3.27993873916489,0.945,0.461,4.14795209403444e-290
"ABCA9",9.27111030809593e-291,2.92504489933314,0.949,0.461,2.87005761807726e-286
"FBLN1",3.12800311485353e-287,2.90501112696434,0.873,0.233,9.68335924265208e-283
"NEGR1",2.64473966950701e-282,3.02327951108521,0.933,0.398,8.18732059489286e-278
"ABCA6",3.72434789073653e-282,2.89469913769703,0.931,0.474,1.15294637653531e-277
"ACACB",6.3006107282583e-266,-2.7911315638123,0.86,0.979,1.95048006314692e-261
"AQP7",9.50598558849449e-265,-2.55533057767527,0.189,0.905,2.94276795863024e-260
"PDE3B",3.7838497796483e-264,-2.68143275172735,0.551,0.951,1.17136637628572e-259
"TNS1",2.98250146218096e-260,-2.16137044959989,0.712,0.979,9.23292977647361e-256
"MALAT1",3.52849015165895e-255,-0.927519185720817,1,1,1.09231469624906e-250
"DIRC3",1.04777620680342e-253,-2.7525739013235,0.305,0.916,3.24360080340136e-249
"MAST4",2.1965767997521e-249,-1.8743923770116,0.694,0.978,6.79994279899256e-245
"TSHZ2",4.02035988076717e-243,1.9273142809102,0.986,0.874,1.24458280828909e-238
"KAZN",9.1000070752037e-242,2.78056703886819,0.928,0.583,2.81708919027081e-237
"BICC1",8.44581185860999e-240,2.58301502676877,0.834,0.274,2.61456997706989e-235
"PLIN4",4.64697784601626e-236,-2.43230993585386,0.216,0.888,1.43856493179125e-231
"PNPLA2",4.22941130630328e-234,-2.06294509099405,0.28,0.911,1.30929885809231e-229
"PID1",7.38784760431297e-234,2.66208353588262,0.882,0.456,2.28705598286717e-229
"SORBS1",6.53097895931974e-231,-2.15299559938296,0.547,0.954,2.02179515643661e-226
"OGA",8.09667664839649e-228,-1.97967799103982,0.61,0.963,2.5064881900441e-223
"PLIN1",6.97401882164221e-227,-1.89027795641577,0.381,0.934,2.15894700661578e-222
"PRKG1",9.99798827475891e-223,2.60666024489571,0.878,0.487,3.09507723021712e-218
"FRMD4A",1.59810984666644e-222,-1.73300010206578,0.531,0.969,4.94726865232529e-218
"UST",4.95093555551774e-218,2.36734835155097,0.725,0.149,1.53266111992163e-213
"AL136119.1",1.08856754828829e-217,-2.5624205888056,0.244,0.867,3.36987855923605e-213
