"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KAZN",0,-3.55539795109841,0.525,0.938,0
"NEGR1",0,-3.74071706617785,0.319,0.929,0
"DIRC3",0,2.5021090634568,0.967,0.367,0
"TNS1",0,2.00298922435009,0.994,0.75,0
"LAMA2",0,-3.71870869041993,0.396,0.933,0
"AQP7",0,2.35919431629553,0.978,0.242,0
"PDE3B",0,2.50811789921278,0.994,0.578,0
"MALAT1",0,0.988864613932734,1,1,0
"ACACB",0,2.54746085000537,0.996,0.861,0
"DCLK1",0,-3.3701255905654,0.136,0.814,0
"MEG3",0,-3.53788783169694,0.05,0.781,0
"ABCA9",0,-3.35625202914482,0.397,0.933,0
"ABCA10",0,-3.4890307079281,0.575,0.953,0
"FBLN1",0,-3.27513279987186,0.16,0.837,0
"ABCA6",1.79048490466867e-307,-3.10402876451965,0.419,0.91,5.54280411938279e-303
"GAS7",1.84374397237721e-306,-3.42499813626493,0.136,0.799,5.70767821528813e-302
"PNPLA2",2.19867524319882e-302,2.01934108072328,0.974,0.33,6.8064389503706e-298
"TSHZ2",6.83904546963826e-302,-2.19860126943538,0.858,0.985,2.11716330603592e-297
"DMD",1.10602596325351e-300,1.75758303568245,0.992,0.878,3.42392457444388e-296
"BICC1",2.69384676905803e-299,-2.95946834356762,0.192,0.829,8.33934144297294e-295
"PLIN4",2.40308238008318e-291,2.2714756824916,0.951,0.274,7.43922212402349e-287
"SORBS1",9.1742604420008e-289,2.03492874119704,0.989,0.587,2.84007580503019e-284
"PLIN1",3.63474116253998e-284,1.8230141072799,0.981,0.436,1.1252068216875e-279
"PPARG",4.31712057601487e-282,1.98336313938956,0.987,0.641,1.33645101671692e-277
"OGA",1.22257616194306e-281,1.87489167734048,0.991,0.649,3.78472902452714e-277
"SOX5",2.44762171529485e-276,1.31353533897052,0.997,0.961,7.57710254403827e-272
"UST",9.70610886017046e-274,-2.75280771884301,0.075,0.706,3.00472011984297e-269
"PRKAR2B",4.85158404152183e-272,2.16410971637525,0.979,0.583,1.50190487173391e-267
"MAST4",1.60681400591488e-270,1.63833757412726,0.992,0.738,4.9742141181107e-266
"AL136119.1",3.98650977399993e-270,2.38257972605588,0.927,0.296,1.23410383073716e-265
"GPD1",2.12360773825903e-269,1.94014840921588,0.903,0.176,6.57405247532849e-265
"TENM3",6.88979914364286e-268,1.97788109173075,0.97,0.452,2.13287512089752e-263
"NEAT1",1.12918525127218e-267,1.1621697733766,0.999,1,3.49561878236328e-263
"PLXDC2",2.26720225282358e-259,-2.87905576106667,0.362,0.846,7.01857801406596e-255
"TNXB",3.17137660595463e-258,-2.83174860926392,0.23,0.792,9.81763055905375e-254
"LPAR1",1.1188582820546e-257,-2.5194919029913,0.07,0.676,3.46364958375642e-253
"SIK2",2.76179186673913e-256,2.01174884253057,0.987,0.833,8.54967908186432e-252
"GPAM",1.62577641701535e-252,2.28830495101463,0.96,0.43,5.03291605415441e-248
"KCNIP2",3.14786433448923e-250,2.00422108778222,0.862,0.159,9.7448436202783e-246
"PRKG1",1.69479096185438e-248,-2.84267736157048,0.437,0.865,5.2465643806126e-244
"FBXL7",1.65815818293998e-247,-2.1887616651084,0.683,0.932,5.1331602869273e-243
"PDGFRA",1.9386830483967e-246,-2.46290169100773,0.06,0.648,6.00158111292165e-242
"LAMA4",2.51474857492444e-245,1.50921512257159,0.996,0.843,7.78490716339359e-241
"ABI3BP",2.12706751331662e-244,-2.44885505155124,0.142,0.721,6.58476290097425e-240
"PALMD",7.83311915393955e-242,1.81864827308128,0.921,0.284,2.42489869648507e-237
"ASPH",7.83854409986296e-240,1.51386160343724,0.986,0.728,2.42657809699458e-235
"PECR",6.14958589116503e-233,1.75700740955551,0.872,0.202,1.90372730432796e-228
"ACSS2",3.29345410585683e-229,1.75768198735679,0.909,0.292,1.0195545875501e-224
"ADAMTSL3",5.48915705280381e-229,-3.12022320479221,0.123,0.682,1.69927834883647e-224
"VKORC1L1",6.45111094744134e-228,1.75599573341175,0.942,0.408,1.99707041599942e-223
"PID1",1.9989877266616e-225,-2.67430289011626,0.418,0.842,6.1882663054263e-221
"CARMN",1.16343400241468e-224,1.89457414247346,0.857,0.205,3.60164264127513e-220
"PTPRF",3.5731125137233e-224,1.68161051459187,0.891,0.223,1.10612844087332e-219
"PDZD2",1.89050208143039e-222,1.76247478059397,0.936,0.371,5.85242729348406e-218
"EPB41",8.2543537617465e-221,1.740444127833,0.881,0.241,2.55530029402386e-216
"NR4A1",4.98285880627436e-220,-2.23561709194624,0.313,0.82,1.54254360065835e-215
"PLIN5",1.35176515420374e-216,1.79474883540412,0.834,0.172,4.18465938786852e-212
"COL1A2",1.20606905603652e-215,-2.18361210477845,0.131,0.673,3.73362797677226e-211
"MEG8",1.24872477545835e-215,-2.79719139411815,0.058,0.593,3.86567728738641e-211
"GHR",6.69036482138447e-214,1.37122272712801,0.992,0.897,2.07113623775599e-209
"LIPE",8.11366395551993e-212,1.70698119570226,0.879,0.266,2.51174695071031e-207
"AKT3",8.92386036631925e-212,-2.08587696062946,0.267,0.767,2.76255945360145e-207
"C3",2.60745383343663e-211,-2.48549799297062,0.184,0.708,8.07189483216976e-207
"BOC",6.06005483294239e-211,-2.22526037541362,0.072,0.601,1.87601117463398e-206
"SORT1",6.71222498646665e-211,1.66796458081527,0.806,0.16,2.07790348906048e-206
"AC004160.1",1.74578360086163e-210,1.51049114171575,0.979,0.649,5.40442229318736e-206
"ITGA7",7.30784193793218e-210,1.64066281713411,0.787,0.136,2.26228862872566e-205
"BCL2",7.81456437613438e-210,1.7300905705955,0.948,0.477,2.41915469391992e-205
"TMEM132C",2.91743639340107e-209,1.70221046444321,0.949,0.479,9.03150784305169e-205
"GYG2",5.30272899793877e-209,1.75329672176361,0.794,0.142,1.6415658158919e-204
"PALM2-AKAP2",5.60723483622735e-209,1.41993250973508,0.981,0.601,1.7358316882509e-204
"HK2",6.34104164213151e-209,2.03386508121476,0.83,0.206,1.96299626115465e-204
"TCF4",1.67445307107785e-207,-1.93516912542798,0.649,0.896,5.1836043721357e-203
"ADIPOR2",3.06039999799162e-205,1.67274750867131,0.936,0.436,9.47408027378266e-201
"GFPT2",3.61716558370104e-205,-2.81445312815828,0.084,0.607,1.11976594974633e-200
"LPL",5.34484455517026e-204,1.92131658480706,0.872,0.287,1.65460352894406e-199
"EEPD1",5.34911501614444e-204,1.81724441945976,0.886,0.313,1.65592553554783e-199
"PLAAT3",2.66100418140999e-203,1.69129475885552,0.856,0.243,8.2376706443909e-199
"CD36",3.57689860220924e-203,1.66247185024448,0.957,0.596,1.10730050028591e-198
"CIDEA",1.01722986279728e-202,1.64076031713823,0.848,0.207,3.14903848626155e-198
"DOCK4",1.81527875208205e-202,-2.38820143306947,0.356,0.785,5.61955843282039e-198
"LINC02607",7.43900427013092e-200,1.75297985303021,0.765,0.146,2.30289255190443e-195
"AUXG01000058.1",1.52597995101098e-196,1.70433855719377,0.864,0.267,4.72397613434468e-192
"DPYSL3",1.55701528482728e-196,-2.31430546825463,0.092,0.6,4.82005221723981e-192
"PPP2R5A",1.84508757306028e-196,1.57384048591151,0.924,0.408,5.71183759992269e-192
"MRC2",1.55383564082137e-195,-2.06148422082718,0.066,0.567,4.81020899329071e-191
"CTIF",7.02522910476041e-193,1.4527968545728,0.937,0.455,2.17480017396068e-188
"SLTM",4.84503324631709e-192,1.35491146495078,0.945,0.527,1.49987694206238e-187
"COL6A3",6.01907882890393e-190,-2.19194925596981,0.188,0.681,1.86332623306379e-185
"AKAP13",8.18453424146957e-190,-1.88398766382187,0.625,0.858,2.53368626513174e-185
"FRMD4A",1.30406395207702e-189,1.28294171103801,0.981,0.614,4.03699077644482e-185
"SLC19A3",2.18026334027112e-189,1.73071890700698,0.769,0.16,6.7494412224773e-185
"PFKFB3",9.10029721081524e-188,1.87743235787736,0.912,0.44,2.81717900755207e-183
"MLXIPL",1.210049067431e-187,1.38601373503956,0.893,0.291,3.74594889804616e-183
"LDB2",9.10757720756411e-187,-2.01897195368844,0.457,0.814,2.81943267614562e-182
"ANO6",9.55961641844093e-186,1.46614216521279,0.953,0.591,2.95937045465676e-181
"AGBL4",4.04051870514133e-185,1.77927677519662,0.799,0.218,1.2508233755506e-180
"SLC16A7",1.48819867949013e-184,1.41530891648173,0.945,0.57,4.6070166520976e-180
"RORA",5.7602692553708e-184,-1.32802121089976,0.925,0.978,1.78320655338514e-179
"EBF2",6.69008140980354e-184,-1.85871535555566,0.548,0.884,2.07104850203288e-179
"PFKFB1",1.13086978835535e-183,1.42909639215601,0.735,0.119,3.50083360381166e-179
"ZNF385D",2.77331223396286e-182,-2.59852427173746,0.157,0.636,8.58534268267883e-178
"ADRA1A",7.58707490527276e-182,1.65923320528947,0.768,0.17,2.34873077842529e-177
