"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TAFA1",1.49734151123263e-06,0.526243231440331,0.373,0.149,0.0463532011632284
"MED6",2.57222340016346e-06,0.349145729299264,0.433,0.181,0.0796283197988603
"REV1",3.24634207243644e-06,0.384151019879911,0.657,0.343,0.100497011536415
"LYPLAL1",3.50936324813592e-06,0.450427851288268,0.687,0.383,0.108639358072544
"POLG2",3.81906811007993e-06,0.418624084965981,0.746,0.472,0.118226891483744
"AC012291.3",8.01806085265856e-06,0.407089168527199,0.507,0.244,0.248215109815751
"EPB41",8.8441275854057e-06,0.496063923917174,0.955,0.619,0.273787657661404
"HSPA8",1.07897581363601e-05,0.374380771617359,0.328,0.135,0.334018542627299
"SRBD1",1.188407482935e-05,0.317839440498532,0.612,0.318,0.367895304492189
"PEMT",1.28821615613583e-05,0.376776201559836,0.403,0.177,0.39879307545497
"MAPK8IP3",1.41318339408149e-05,0.353365229836183,0.567,0.298,0.437479183305807
"IL3RA",1.46738086423268e-05,0.412586753945663,0.373,0.168,0.45425709414051
"ASAH1",1.93829329016531e-05,0.410558893541681,0.478,0.239,0.600037453836475
"KAZN",2.091924261615e-05,-0.30119248979506,0.985,0.681,0.647596993668155
"KCMF1",3.02223073493605e-05,0.477479474932333,0.701,0.426,0.935591968614154
"EED",3.04004741088909e-05,0.326055389124168,0.388,0.176,0.941107476988936
"AIG1",3.29850867301245e-05,0.431003751159666,0.761,0.456,1
"CAMTA1",4.28913726512723e-05,0.348065214936043,0.642,0.373,1
"DHRS7B",5.11988806470706e-05,0.31782708086163,0.552,0.288,1
"PRPF38B",5.20585381298719e-05,0.315714437627102,0.463,0.226,1
"ZNF827",5.98251400927905e-05,0.424197135557524,0.687,0.416,1
"LAMA2",6.30913618133174e-05,-0.346190167452849,0.91,0.601,1
"ACO2",6.41992213912274e-05,0.343485463166248,0.746,0.428,1
"USP22",6.99415698509913e-05,0.365206599487032,0.612,0.338,1
"SNX8",7.94255072520945e-05,0.332770598446912,0.388,0.182,1
"AL590226.1",8.15605915943641e-05,0.442887844707329,0.448,0.225,1
"TXLNG",9.86329423441803e-05,0.306016622183064,0.672,0.395,1
"SLC35E1",0.000104937046453506,0.402888691866807,0.388,0.192,1
"FBXO17",0.00012489599346976,0.349073136178005,0.701,0.418,1
"SH3KBP1",0.000132447072260213,0.389392540248947,0.925,0.645,1
"NPR3",0.000146868332041035,0.572485838878195,0.478,0.266,1
"ABCA6",0.000165489727829701,-0.420359928523391,0.94,0.605,1
"PTPRF",0.000171134009176485,0.352259755523796,0.866,0.62,1
"HULC",0.000203447303658647,0.426279037079367,0.627,0.353,1
"STK17B",0.000216095668183501,0.354691927187543,0.343,0.164,1
"CFLAR",0.00022034767605411,0.343016105075932,0.881,0.76,1
"BMP1",0.000269549138188512,0.363713497975834,0.343,0.165,1
"SNRK",0.000278508893461378,0.305309705736429,0.761,0.5,1
"EP400",0.000292843972466241,0.349577068438589,0.612,0.383,1
"PAPSS2",0.000301512831200545,0.309107930411924,0.403,0.206,1
"TMCO4",0.000332949155149939,0.335479031812712,0.612,0.356,1
"CAP1",0.00037246692997441,0.356761212221217,0.403,0.205,1
"FANCC",0.000414318968444103,0.320147367130914,0.597,0.364,1
"NEGR1",0.000473393048934564,-0.48670105700735,0.896,0.553,1
"NDFIP1",0.000503889799832645,0.311802911241806,0.791,0.513,1
"PLCG2",0.000517857689996534,0.585816646575017,0.97,0.841,1
"MEG3",0.000520221816711127,-0.452645975066063,0.672,0.331,1
"MRAS",0.000531010215764313,0.393011052808993,0.716,0.458,1
"COQ8A",0.00056985596270822,0.351821468847372,0.672,0.418,1
"ATF7",0.000583976625221697,0.307613794591969,0.896,0.644,1
"HIVEP1",0.000586569889051728,0.353330266095919,0.657,0.406,1
