"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SEMA4A",1.49363302138783e-59,-2.65805945398095,0.027,0.514,4.62383974431031e-55
"FOSB",6.94576943972244e-51,-1.99964341230941,0.333,0.873,2.15020184545488e-46
"ITLN1",3.75920924560812e-50,2.27331442290661,0.712,0,1.1637384061629e-45
"SAA1",4.99367463328947e-49,-1.13095593422604,0.014,0.41,1.54589185622742e-44
"RBFOX1",5.66096785252729e-38,1.71854424977724,0.756,0.197,1.75246581810687e-33
"SMIM41",3.40174536339258e-36,-1.43916457558726,0.02,0.335,1.05307831214544e-31
"ARL17B",2.42309685750803e-33,-1.24833648663064,0.158,0.607,7.5011809417876e-29
"NFATC1",1.10975043799944e-32,-1.90614164529704,0.146,0.572,3.43545443091488e-28
"SDK1",3.85552960885659e-32,1.12671921759562,0.988,0.936,1.19355630101373e-27
"NR4A1",6.16655059616448e-30,-1.20474191965956,0.47,0.896,1.90897906805464e-25
"CD55",1.60886508474079e-29,-1.71581802794404,0.616,0.855,4.98056364283208e-25
"MAFF",6.89921867124017e-29,-1.09821096004414,0.078,0.428,2.13579112405582e-24
"YWHAZ",3.0890095087595e-27,-1.0931102886838,0.516,0.821,9.56264673626678e-23
"NAMPT",6.92973606140494e-27,-1.24317327723137,0.231,0.647,2.14523839252913e-22
"PRKCG",2.60801547435916e-26,-1.20946210367038,0.052,0.347,8.07363350397364e-22
"AC020916.1",1.09633639247367e-24,-1.28197586555551,0.338,0.746,3.39392857018075e-20
"LMNA",1.28614942330202e-24,-1.38265330870112,0.528,0.867,3.98153276971607e-20
"CCN1",1.65227435671463e-24,-1.13167550088559,0.276,0.665,5.11494572608147e-20
"NR4A3",1.17305717848968e-23,-1.6625768474015,0.123,0.451,3.63143310745051e-19
"FOXO1",1.77477988407899e-23,-1.05575533017071,0.767,0.919,5.49418608714331e-19
"AKAP12",2.03917655641031e-23,-1.52795683236249,0.493,0.815,6.31267886567939e-19
