"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SEMA4A",2.99943613323181e-279,-4.41734954436792,0.027,0.733,9.28535443764573e-275
"FOSB",6.53243241047629e-206,-2.07398186478994,0.53,0.952,2.02224510131115e-201
"ITLN1",6.96243529807171e-192,2.41039982720285,0.697,0.014,2.15536109522406e-187
"PDE4C",4.7536744284286e-182,-2.48472974475791,0.011,0.512,1.47159499280864e-177
"PPM1N",1.98647449506185e-166,-2.52510271133107,0.007,0.468,6.14952909436298e-162
"PLEKHG2",4.76642984573451e-151,-2.71461601529153,0.075,0.551,1.47554368734403e-146
"AC008397.1",1.83210035534349e-143,-1.64595086758679,0.001,0.401,5.67163307003683e-139
"POLG2",5.6648803076298e-131,-2.35950383580708,0.139,0.592,1.75367699683296e-126
"PRG4",9.58731747482485e-126,1.79798967419454,0.545,0.026,2.96794587068153e-121
"ARL17B",3.46410462644796e-119,-1.56023249604908,0.118,0.557,1.0723828692095e-114
"RBFOX1",3.99448775110371e-118,1.57433099702747,0.736,0.222,1.23657357310918e-113
"NAMPT",4.34949856003918e-118,-1.81238729353333,0.303,0.738,1.34647426923133e-113
"NFATC2",3.87704632604399e-115,-2.88100657746564,0.178,0.598,1.20021723115344e-110
"LMNA",6.77876813925405e-115,-1.59143172512698,0.582,0.903,2.09850325286888e-110
"IQCN",5.70785445307527e-109,-1.48471073085824,0.251,0.686,1.76698050303851e-104
"SEMA3C",2.80411625878707e-104,1.42409203528842,0.748,0.274,8.68070270232713e-100
"PRKCG",2.66602146193673e-103,-1.99782981550684,0.068,0.439,8.25320263971753e-99
"SMIM41",9.88397603082327e-98,-1.803705736713,0.033,0.359,3.05978245986196e-93
"JUN",6.59542151203738e-97,-1.44448927476319,0.372,0.734,2.04174463748141e-92
"SLC4A4",5.36003313513997e-96,1.51849417277765,0.57,0.113,1.65930545764528e-91
"CCNL1",3.61956464530125e-94,-1.43669585218492,0.388,0.751,1.12050862724591e-89
"SAA1",6.86460595962521e-94,-1.33473027213657,0.024,0.334,2.12507606692118e-89
"EZR",5.41020102785587e-93,1.53312461632197,0.512,0.076,1.67483593219334e-88
"MAFF",3.57560743854921e-92,-1.43233627280434,0.143,0.531,1.10690079475168e-87
"AC020916.1",1.84837840428774e-91,-1.49092980406286,0.386,0.768,5.72202502615356e-87
"MT-CO1",9.4736134584332e-89,1.1757048824732,0.825,0.434,2.93274651832717e-84
"YWHAZ",7.64541352445214e-84,-1.24216407749012,0.498,0.79,2.36679066476465e-79
"HIPK3",9.19376691559927e-81,-1.21127411815418,0.648,0.86,2.84611442406207e-76
"VASP",3.6044110757502e-79,-1.93716472845437,0.05,0.34,1.11581753671999e-74
"TM4SF1",2.12606971592505e-75,1.31247333474138,0.389,0.03,6.58167401958917e-71
"TPM1",3.34461137790093e-75,1.29099948575256,0.541,0.143,1.03539134425679e-70
"PDE10A",1.7791761328625e-72,1.46010521742777,0.669,0.295,5.50779555450245e-68
"LDB2",4.78386699942625e-67,-1.02519078377855,0.58,0.836,1.48094170701238e-62
"YBX3",1.67600635512288e-66,-1.3400583500077,0.398,0.68,5.18841287355389e-62
"DMD",1.3626849292318e-65,-0.975118941308082,0.657,0.876,4.21846373542289e-61
"SIK3",2.82980099003481e-65,-0.970722969760302,0.659,0.852,8.76021492485076e-61
"ERCC1",4.75418452248063e-65,-1.17667841469694,0.119,0.418,1.47175290262433e-60
"DDX5",2.18014172414888e-64,-1.07885312667402,0.574,0.795,6.74906473544769e-60
"ZFP36",4.29812479171715e-64,-1.12004661884174,0.292,0.605,1.33057049177188e-59
"MT-CO3",2.58606042087081e-63,0.973554328808811,0.781,0.419,8.00566724488976e-59
"MT-CO2",3.7960892965989e-63,1.041707834045,0.688,0.323,1.17515536354812e-58
"AP000561.1",6.39785226122214e-62,1.17164302757379,0.353,0.036,1.98058312450654e-57
"SLC39A8",3.88954560746439e-59,1.14304891216274,0.345,0.04,1.20408663370275e-54
"KCNT2",3.65689497047105e-58,0.913753769929543,0.749,0.408,1.13206497600872e-53
