"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC02227",1.30436873075576e-139,0.42273532505374,0.246,0.999,2.60873746151152e-136
"SCD",6.76496716450706e-116,0.440487988244003,0.247,0.967,1.35299343290141e-112
"PKN2-AS1",3.23316988927164e-112,0.492222636119116,0.279,0.999,6.46633977854329e-109
"SEMA4A",1.16425353101983e-54,-0.486038077361504,0.02,0.347,2.32850706203966e-51
"SHISA6",2.9085926895967e-53,0.388481475952123,0.361,0.991,5.81718537919339e-50
"AP000561.1",3.23979704516275e-49,0.314056775524371,0.355,1,6.4795940903255e-46
"SGO1-AS1",1.82794458673689e-48,0.336042558948831,0.364,0.974,3.65588917347377e-45
"LINC01515",1.64021997253389e-45,0.302688969303742,0.281,0.877,3.28043994506778e-42
"LMCD1",8.03285966282473e-37,-0.395030359569264,0.097,0.392,1.60657193256495e-33
"ADGRB3",2.08002024893597e-32,0.305572035943292,0.398,0.953,4.16004049787194e-29
"LINC01239",5.50515850431883e-27,0.335055027861182,0.448,0.994,1.10103170086377e-23
"TM4SF1",1.63679919418513e-24,0.361600850199064,0.414,1,3.27359838837026e-21
"LDLR",4.38646671417808e-18,-0.644420263363269,0.101,0.435,8.77293342835615e-15
"NAMPT",1.29771210419875e-10,-0.349906075751741,0.426,0.744,2.59542420839751e-07
"C8orf34",1.58998170465899e-08,-0.371067279125035,0.134,0.482,3.17996340931798e-05
"RERG",4.56262753129854e-08,0.330469520379583,0.507,1,9.12525506259707e-05
"NFATC1",3.41154096307165e-05,-0.378078441451461,0.27,0.55,0.0682308192614331
"BTNL9",0.000208137171115443,-0.305567485987785,0.064,0.484,0.416274342230886
"ITLN1",0.000398961075329968,0.539264206828231,0.734,1,0.797922150659937
"LEPR",0.00176486610681145,-0.39229832010039,0.374,0.586,1
"AC002460.2",0.310383384710551,0.353119797882471,0.621,1,1
"PLXNA4",0.630628528630106,0.30180842893464,0.65,0.823,1
"PRG4",0.741580757268617,0.475490800562856,0.581,1,1
"PKNOX2",0.756969549202039,-0.365302341981339,0.198,0.564,1
