"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FLT1",6.73959666249025e-26,-0.407979562853229,0.081,0.91,1.34791933249805e-22
"AC233296.1",2.93244406217879e-20,0.437246818711327,0.166,0.985,5.86488812435758e-17
"FRMD3",5.61175271748366e-19,-0.36394942944399,0.194,0.985,1.12235054349673e-15
"AC009623.1",7.17858345370729e-19,0.430424577057455,0.166,0.97,1.43571669074146e-15
"GALR1",9.76997562032685e-19,0.331774560782397,0.109,0.896,1.95399512406537e-15
"OSBPL10",1.30286108307932e-18,-0.400248451168546,0.19,0.97,2.60572216615863e-15
"AC124254.2",6.6083423534653e-18,0.417936049370236,0.185,0.985,1.32166847069306e-14
"IQGAP2",7.21019715540425e-18,-0.324255964180978,0.185,0.955,1.44203943108085e-14
"AC021723.2",1.37291414536293e-15,0.353814966778897,0.194,0.97,2.74582829072586e-12
"MCTP1",1.71492244663901e-15,-0.400098142111224,0.175,0.925,3.42984489327802e-12
"UPK3B",6.01162646064639e-14,0.337732303894616,0.232,1,1.20232529212928e-10
"CLDN11",6.65410581526165e-14,0.382623571658393,0.142,0.881,1.33082116305233e-10
"SPSB4",4.78793773009213e-13,0.464366350598451,0.194,0.94,9.57587546018425e-10
"PAMR1",2.98370819650726e-12,0.334259018881727,0.251,1,5.96741639301451e-09
"AL133346.1",1.07100350969182e-11,0.310640338393456,0.137,0.851,2.14200701938364e-08
"AC092691.1",1.28359681283092e-11,0.318979685416713,0.261,1,2.56719362566184e-08
"TMEM108",1.69943497032881e-11,0.353154041397098,0.204,0.925,3.39886994065762e-08
"P2RY8",2.12616969469248e-11,-0.305892704130488,0.014,0.716,4.25233938938495e-08
"CACNB4",3.9025003328586e-11,0.322905771701935,0.161,0.866,7.80500066571721e-08
"AQP1",1.39958408796526e-10,0.39355839820462,0.19,0.896,2.79916817593053e-07
"SLC7A14-AS1",1.47876124661072e-10,0.510130140635992,0.218,0.925,2.95752249322144e-07
"AL031599.1",1.69703902813721e-10,0.33592661148708,0.1,0.791,3.39407805627441e-07
"TIMP1",8.94994967481654e-10,0.349305150688618,0.284,1,1.78998993496331e-06
"PROX1",9.06401520393134e-10,-0.306194056358958,0.014,0.313,1.81280304078627e-06
"AC011246.1",1.10296379522067e-09,0.538820830892857,0.185,0.343,2.20592759044134e-06
"HMCN2",1.14409958679294e-09,0.666681177372136,0.237,0.94,2.28819917358588e-06
"SAMD12",1.17752902862987e-09,0.30244684943523,0.265,0.97,2.35505805725973e-06
"RPS21",3.52668664807152e-09,0.408006566679444,0.232,0.91,7.05337329614305e-06
"MEOX2",4.21981362941965e-09,0.331581981801262,0.246,0.94,8.4396272588393e-06
"FGF14",1.63485581510334e-08,0.719947090383699,0.322,0.388,3.26971163020668e-05
"ROR2",4.35898779382471e-08,-0.301055939542574,0.346,0.955,8.71797558764942e-05
"SLC7A2",4.64274346195316e-08,0.337567342620623,0.303,0.985,9.28548692390632e-05
"PKP4",1.79187739136805e-07,-0.316921080606679,0.327,0.91,0.000358375478273611
"GPAT3",2.32469786298356e-07,-0.401402197059506,0.185,0.358,0.000464939572596712
"HRH1",2.91596926391206e-07,0.300121431377447,0.261,0.91,0.000583193852782411
"KRT19",3.20356090455612e-07,0.347194372397324,0.327,1,0.000640712180911224
"KCNB2",3.58517932597032e-07,1.13398881421088,0.294,0.97,0.000717035865194065
"MTHFD1L",4.04098746528465e-07,0.422412861019826,0.313,0.97,0.00080819749305693
"TSPAN18",4.28395889514819e-07,0.473668633262413,0.19,0.388,0.000856791779029638
"ADAMTS16",5.2821153398341e-07,0.996078109456019,0.275,0.94,0.00105642306796682
"STK32B",5.48642813149979e-07,0.475362118313931,0.27,0.91,0.00109728562629996
"CAV2",1.91268197922719e-06,-0.608717072785139,0.384,0.955,0.00382536395845437
"AC119674.1",2.65019007771346e-06,0.555965169477667,0.403,0.463,0.00530038015542691
"GFPT2",2.80464760875124e-06,0.527520410282978,0.559,0.493,0.00560929521750249
"F13A1",4.93461123449105e-06,0.35023878369475,0.299,0.91,0.00986922246898209
"DOCK9",7.88470014764969e-06,-0.483008214240107,0.379,0.91,0.0157694002952994
"AC008050.1",8.31045194501235e-06,0.426701510501679,0.289,0.925,0.0166209038900247
"ABLIM3",8.40823259477595e-06,0.342515109112307,0.19,0.806,0.0168164651895519
"RPL28",2.12888391014702e-05,0.338549761895517,0.355,0.97,0.0425776782029404
"SEMA4A",2.42509733671494e-05,-1.06643688400944,0.024,0.642,0.0485019467342988
"TNXB",2.82941213727866e-05,0.735147156590937,0.915,0.955,0.0565882427455733
"SDK1",3.33557315570909e-05,1.44150415047071,0.848,0.985,0.0667114631141818
"CD96",4.0977751220186e-05,-0.38720386971415,0.299,0.866,0.0819555024403719
"THBS1",4.13825145559634e-05,0.312445957813011,0.374,0.97,0.0827650291119267
"KAZN",5.42938694526351e-05,0.723760759748441,0.948,1,0.10858773890527
"RAI14",5.79998932927328e-05,0.332400302154876,0.318,0.448,0.115999786585466
"ZBTB7C",0.000114548629668941,0.408569017127142,0.351,0.955,0.229097259337882
"PLA2G2A",0.00012318115730422,0.47817118412782,0.379,1,0.246362314608441
"HTRA3",0.000152267904685458,0.342814410117875,0.389,0.985,0.304535809370917
"IFIT3",0.000154979523381214,0.496151986928644,0.09,0.687,0.309959046762429
"DOCK10",0.000159168194713072,0.437846644241935,0.232,0.821,0.318336389426144
"HMCN1",0.000275905625571173,0.338593723868923,0.199,0.776,0.551811251142346
"IGFBP7",0.000301491231006866,-0.441348457944465,0.142,0.403,0.602982462013731
"NAMPT",0.000326130646308993,-0.346500643727526,0.455,0.881,0.652261292617987
"LINC01515",0.000383968558650653,0.383322963045855,0.318,0.91,0.767937117301306
"PDGFRB",0.000455322779183423,0.313861720762963,0.318,0.493,0.910645558366846
"KHDRBS3",0.000473767775368573,-0.350562240449557,0.171,0.716,0.947535550737145
"PCSK6",0.00054832155915063,0.524849749237553,0.431,0.552,1
"FBLN1",0.000604682847374056,0.766434885999697,0.787,0.836,1
"HULC",0.000656168313925625,-0.485989284111231,0.573,0.955,1
"NEGR1",0.000947258769069365,0.689771822238279,0.919,0.91,1
"NTRK3",0.000992016249653654,-0.50195874611464,0.133,0.418,1
"EPHB1",0.001202791728845,-0.315769916964082,0.223,0.746,1
"GAS7",0.00177283704539657,0.63071160399518,0.801,0.896,1
"DOCK4",0.00205017793237721,0.734105192177234,0.815,0.925,1
"NRP2",0.00218258225517228,-0.468463274968766,0.085,0.418,1
"RANBP17",0.00236283739255434,0.430854804084314,0.346,0.91,1
"HUNK",0.0031042654404966,0.516248722498078,0.194,0.746,1
"ATP8B1",0.00339462977227304,0.351118576521604,0.422,1,1
"TM4SF1",0.00350865730396223,0.351705765495939,0.469,1,1
"GALNT17",0.00486757106594046,0.995432719942079,0.341,0.91,1
"ANOS1",0.00490440529914421,0.311164091006684,0.137,0.687,1
"MIR193BHG",0.00563662091864988,-0.397416853974121,0.602,0.94,1
"SH3RF3",0.00608636811305409,0.372021928539009,0.417,0.582,1
"MEG3",0.00660293731602002,0.300257129415421,0.711,0.731,1
"DCLK1",0.00700571361641342,0.360097585260001,0.82,0.791,1
"MOGAT1",0.00756984929812327,0.339779007108869,0.422,0.985,1
"KLHL13",0.00859083934854418,0.544327224138022,0.398,0.597,1
"SGO1-AS1",0.00873078394306832,0.31097182319656,0.398,0.925,1
"EBF2",0.0094313430772089,0.487751875775808,0.9,0.955,1
"FBN1",0.0102404545110916,0.554182386619583,0.953,0.985,1
"AC109927.1",0.0121199713500747,0.451096469963668,0.45,1,1
"ANKRD30A",0.0127498435032544,0.386100400746364,0.479,1,1
"CDH11",0.0152373832178448,-0.465213856495758,0.299,0.746,1
"RERG",0.0156438328016357,0.301798220099718,0.507,1,1
