"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AL845331.2",3.69737238392652e-261,-1.22356448711647,0.023,0.549,1.14459556889213e-256
"KCNIP2",2.59946484779087e-246,-2.012992031491,0.107,0.814,8.04716332930619e-242
"AQP7",7.92122122807331e-240,-2.80804811762193,0.228,0.911,2.45217245557465e-235
"GPD1",5.03560773119734e-238,-1.79728079156532,0.105,0.797,1.55887308534676e-233
"PFKFB1",5.93040109071277e-228,-1.24495845976439,0.061,0.67,1.83587426565195e-223
"KCNIP2-AS1",4.57642280024396e-220,-1.08780725093623,0.05,0.616,1.41672320627152e-215
"ITGA7",1.39913751460017e-219,-1.15614819417582,0.061,0.659,4.33131000394775e-215
"KLB",9.02207275869162e-218,-1.38486937718334,0.063,0.651,2.79296306390816e-213
"TRARG1",4.12324770289872e-211,-1.29002006761611,0.058,0.622,1.27643379138636e-206
"GYG2",1.82491424706656e-199,-1.64093079890482,0.124,0.778,5.64938703464396e-195
"PEX11A",2.39644066562662e-194,-1.10299447133173,0.066,0.632,7.41866136858032e-190
"PLIN5",1.47834431030332e-187,-1.85973817925352,0.156,0.816,4.57651048140597e-183
"TBL1Y",1.43972351340867e-186,-1.28922794718114,0.078,0.651,4.45695208045922e-182
"ABCC6",1.0901428345854e-183,-0.954935862057099,0.037,0.497,3.37475517302604e-179
"GPT2",3.61005122026618e-179,-1.34770893414293,0.054,0.551,1.1175635562578e-174
"PLIN4",7.30091424504018e-175,-1.98110364454774,0.205,0.846,2.26014402283709e-170
"PNPLA2",2.73167352556e-171,-1.87540774101053,0.25,0.878,8.45644173307611e-167
"CIDEA",1.75816815535273e-168,-1.73846677260983,0.169,0.803,5.44276115852544e-164
"RETSAT",2.52693742179342e-162,-1.08342264426528,0.093,0.657,7.82264017664589e-158
"AC087482.1",6.87004125198469e-161,-0.907196310742771,0.047,0.5,2.1267586703769e-156
"SORT1",3.12529987451908e-160,-1.28298201802512,0.122,0.719,9.67499082154873e-156
"PC",5.37303341526975e-158,-1.56357849378074,0.127,0.714,1.66332995436506e-153
"PLAAT3",8.35435129205924e-158,-1.74158347764974,0.228,0.854,2.58625652948278e-153
"LINCADL",2.90280700788142e-157,-0.796842558595335,0.027,0.405,8.9862196542985e-153
"EPB41L4B",1.63605191661112e-155,-1.33021990027632,0.099,0.646,5.06472591825303e-151
"ALDH1L1",1.29270287152852e-154,-0.999327606877367,0.073,0.581,4.00182027939084e-150
"SLC19A3",9.69247650281056e-154,-2.00057419144686,0.203,0.808,3.00049995097506e-149
"ADCY5",1.08998883540621e-152,-1.02450051097993,0.06,0.53,3.37427843776701e-148
"AGPAT2",1.11368130251083e-152,-1.025830599394,0.093,0.641,3.44762320818279e-148
"PECR",2.34322617542299e-151,-1.4471446487855,0.174,0.792,7.25392527125696e-147
"PTGER3",1.83599992854877e-150,-1.6408457724209,0.182,0.792,5.68370497880841e-146
"LINC02607",1.02162119683487e-147,-1.33483496037429,0.115,0.67,3.16263273904171e-143
"PLIN1",5.71800834684723e-147,-1.7067210847774,0.352,0.903,1.7701238439335e-142
"ADRA1A",9.35428880796048e-143,-1.43030444194089,0.135,0.697,2.89580718628033e-138
"AL136119.1",4.79717878024052e-140,-1.92246599844766,0.214,0.792,1.48506263499906e-135
"CIDEC",1.0072942483097e-138,-1.2282172091625,0.091,0.592,3.11828080449235e-134
"ADIPOQ",7.00217523512023e-138,-1.62537430715055,0.264,0.854,2.16766338753617e-133
"LGALS12",3.37191061986208e-137,-0.704735029591413,0.044,0.449,1.0438423705907e-132
"LINC02649",5.71126807162816e-137,-1.12039931693311,0.109,0.641,1.76803725693393e-132
"LINC02237",7.33068067478741e-137,-1.45602032031624,0.161,0.735,2.26935881649394e-132
"LIPE",5.33764392926197e-136,-1.59126035980857,0.241,0.835,1.65237443118163e-131
"CARMN",6.18320894363854e-136,-1.41058099633121,0.122,0.654,1.91413599268218e-131
"MOGAT1",1.36093004824352e-135,-0.713664500015267,0.023,0.351,4.21303115034746e-131
"AL356218.2",1.97878397865867e-135,-0.52485728486997,0.015,0.308,6.12572156273366e-131
"SORBS1",5.06507502117062e-133,-2.01802262618005,0.492,0.916,1.56799527430379e-128
"ACVR1C",6.34515398267691e-133,-1.39083749697243,0.13,0.668,1.96426931841729e-128
"DIRC3",3.92396610956001e-132,-1.91396901900367,0.252,0.822,1.21474218853649e-127
"FAM89A",5.37082537310297e-132,-0.768740234801905,0.046,0.443,1.66264641075149e-127
"MALAT1",1.03242962218133e-131,-0.752953491890327,1,1,3.19609238138676e-127
"ABCD2",1.52015777185371e-131,-0.88196446796563,0.062,0.497,4.70595241432752e-127
"ERV3-1",1.74085053142378e-130,-0.808831407387626,0.083,0.565,5.3891509901286e-126
"PDE3B",3.11234064652741e-130,-2.28774564685315,0.582,0.932,9.63487293945491e-126
"ANKRD30A",2.41776187925206e-128,-1.03445748801129,0.037,0.395,7.48466544960061e-124
"LRRIQ3",8.40213153482613e-128,-0.609527354081804,0.028,0.362,2.60104785923612e-123
"COX14",1.20960460809185e-126,-0.550313502990248,0.029,0.362,3.74457298526994e-122
"TRHDE-AS1",1.48246024066774e-124,-1.25415668838679,0.188,0.768,4.58925216703514e-120
"AGBL4",3.98736040192001e-124,-1.41069760696846,0.195,0.765,1.23436715962238e-119
"PALMD",5.58335648789287e-123,-1.46637440652877,0.258,0.824,1.728439667957e-118
"RDH5",6.10016991831596e-123,-0.657110124900748,0.048,0.432,1.88842960161307e-118
"DAPK2",1.8119050133581e-122,-1.00630812675564,0.133,0.678,5.60911434985268e-118
"TENM3-AS1",2.16624794297607e-122,-0.7337897894992,0.037,0.389,6.70605375707102e-118
"SGK2",5.94489561200422e-121,-1.15797356171943,0.09,0.554,1.84036133460815e-116
"ZNF117",9.47976484194869e-121,-1.16091325298446,0.174,0.727,2.93465080212206e-116
"HACD2",1.88236562338813e-120,-1.25713689161274,0.174,0.73,5.82723926032263e-116
"PFKFB3",3.28505092597547e-119,-1.89457084277876,0.43,0.897,1.01695321515423e-114
"MAST4",1.04584591246553e-116,-1.53971883078191,0.68,0.941,3.23762519121954e-112
"EPB41",2.97770149192391e-116,-1.30026839124952,0.21,0.781,9.21807050854884e-112
"ESR2",3.27918349248085e-116,-0.84502417237381,0.047,0.408,1.0151368337673e-111
"COQ8A",3.96783653570051e-115,-1.0780252359923,0.149,0.684,1.22832315635681e-110
"ACSL1",2.92004407403404e-114,-1.65095057107613,0.289,0.841,9.03958043998717e-110
"C4orf19",3.27780398161071e-113,-0.59944299285873,0.044,0.4,1.01470977858723e-108
"MOCS1",3.48281818703395e-113,-0.794918164351928,0.072,0.489,1.0781760261601e-108
"AKR1C2",6.43550842361335e-113,-0.677437171220887,0.073,0.497,1.99224034269798e-108
"ACSS2",2.28130477783061e-112,-1.33090837535968,0.244,0.808,7.06223520073023e-108
"MREG",3.27316182552176e-112,-0.91059322652588,0.103,0.576,1.01327270632677e-107
"MARC1",3.33070528851393e-112,-0.793117469874883,0.083,0.522,1.03108643616526e-107
"AC002066.1",1.26775410562697e-111,-1.26747066738723,0.147,0.657,3.9245863847894e-107
"MRAP",1.79844670542975e-111,-0.583643907014949,0.03,0.338,5.56745146599886e-107
"AKAP1",6.06115711486889e-111,-0.870854011200936,0.084,0.522,1.87635240804996e-106
"AUXG01000058.1",6.16836378921136e-111,-1.40358108776548,0.251,0.805,1.90954037822616e-106
"PCOLCE2",6.41129348235888e-111,-1.3391685157922,0.223,0.781,1.98474412333384e-106
"ACACB",1.1506622882443e-110,-2.08804036752608,0.819,0.957,3.56210524571788e-106
"LPL",8.27515448492338e-110,-1.82402146663496,0.28,0.805,2.56173957389773e-105
"LVRN",8.57753643214824e-110,-1.60467751768148,0.274,0.816,2.65534795330013e-105
"PDP2",1.43755041946716e-109,-0.563609734573009,0.038,0.37,4.4502248335445e-105
"PPARGC1B",3.20290457155172e-109,-0.85772890178382,0.065,0.459,9.91523168215264e-105
"MATN2",1.9382509949551e-108,-0.707486215505891,0.09,0.541,6.0002436050825e-104
"OGA",1.26836067876568e-107,-1.59482144622688,0.666,0.93,3.92646415325493e-103
"PTPRF",5.91978702774869e-107,-1.1730186005423,0.22,0.773,1.83258847018016e-102
"LRIG1",9.06207397613661e-106,-1.56185348691178,0.221,0.732,2.80534624079261e-101
"PDE8B",1.41686001865578e-105,-1.00154424713975,0.085,0.505,4.38617355975269e-101
"MEST",2.12711383622926e-105,-1.21377419062759,0.185,0.714,6.58490630281492e-101
"AIFM2",2.29661510786051e-105,-0.77943471792762,0.124,0.622,7.10963138940379e-101
"GPAM",6.2236706272848e-105,-1.82050068622082,0.327,0.835,1.92666171608856e-100
"NEDD4L",2.01733803285105e-104,-0.997882602901628,0.134,0.627,6.245073348297e-100
"LINC02615",3.56734873851194e-104,-1.18430664346701,0.175,0.692,1.10434414898114e-99
"LINC00278",4.96406596928705e-104,-1.57102208570318,0.448,0.911,1.53672590211219e-99
"AC007923.4",6.53996490668124e-104,-0.99004083972806,0.114,0.576,2.02457693616131e-99
"APMAP",6.76265127824694e-104,-0.709839602647244,0.077,0.486,2.09351395620691e-99
"ADCY6",5.34865150416723e-103,-0.795038298179701,0.118,0.595,1.65578204614505e-98
"MAOA",9.48968784355857e-103,-1.40923625639561,0.194,0.697,2.93772266573043e-98
"GLYAT",1.6994351751339e-102,-0.607725844069103,0.033,0.332,5.26094147166201e-98
"RNF157",3.08864811449183e-102,-0.596247453181615,0.044,0.378,9.56152796803237e-98
"TSPAN15",1.08649691859141e-101,-0.667276403288414,0.081,0.497,3.36346851088342e-97
"EHHADH",1.50356267894662e-101,-0.548595459862788,0.045,0.381,4.65457898521505e-97
"CD36",2.07659572218583e-101,-1.55303354144722,0.647,0.951,6.42851737717067e-97
"TENM3",1.17279485052076e-100,-1.53122990765638,0.43,0.87,3.63062101875711e-96
"SYTL3",2.24331795069623e-100,-0.779478503069134,0.099,0.541,6.94463937997031e-96
"SLC22A3",8.18280070442359e-100,-0.608591209498156,0.054,0.403,2.53314961406841e-95
"HOXB-AS1",8.46867723668119e-100,-0.521293075472342,0.071,0.465,2.6216484121594e-95
"IRS2",2.83020984618282e-99,-1.20823554300078,0.227,0.762,8.76148062082814e-95
"PRXL2A",4.83848636994817e-99,-0.696411555205193,0.124,0.611,1.49785022554485e-94
"MIR193BHG",8.75783751742877e-99,-1.00171645394455,0.169,0.681,2.71116376027042e-94
"GABRE",9.48390692985238e-99,-1.04864047673547,0.194,0.719,2.9359330682744e-94
"PCK1",2.08380684755505e-98,-0.948513151995851,0.079,0.47,6.45084085797615e-94
"SIK2",5.37080079393189e-97,-1.68343158997054,0.748,0.954,1.66263880177749e-92
"STX11",8.57566028413037e-97,-0.59094620339478,0.048,0.378,2.65476715415824e-92
"LINC01301",1.09957768057875e-96,-0.732783146629551,0.065,0.432,3.40396262576763e-92
"AIG1",1.38498187286532e-95,-0.913355634589004,0.156,0.654,4.28748838382918e-91
"F11R",7.07393834489797e-95,-0.377163864927764,0.031,0.314,2.18987909343006e-90
