"","ID","Term_Description","Fold_Enrichment_A","occurrence_A","support_A","lowest_p_A","highest_p_A","Up_regulated_A","Down_regulated_A","Fold_Enrichment_B","occurrence_B","support_B","lowest_p_B","highest_p_B","Up_regulated_B","Down_regulated_B","combined_p","status"
"1","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",3.83456225103822,8,0.005,0.00176290080980774,0.00213924583212881,"CTIF, UPF3A","",NA,NA,NA,NA,NA,NA,NA,0.00176290080980774,"A only"
"2","GO:0000226","microtubule cytoskeleton organization",NA,NA,NA,NA,NA,NA,NA,1.88600489106269,1,0.00510204081632653,0.0263381741464332,0.0263381741464332,"","MAPT, PCNT, PHLDB2",0.0263381741464332,"B only"
"3","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",4.19975865589901,4,0.005,0.0164729674554831,0.0164729674554831,"NOVA1, NOVA2","HNRNPU, RBPMS",NA,NA,NA,NA,NA,NA,NA,0.0164729674554831,"A only"
"4","GO:0001502","cartilage condensation",NA,NA,NA,NA,NA,NA,NA,16.3453757225434,7,0.005,0.0275295935743081,0.0424888832371448,"MGP","SOX5, SOX6",0.0275295935743081,"B only"
"5","GO:0001764","neuron migration",6.78422552106763,1,0.005,0.00588656317925116,0.00588656317925116,"AUTS2, DISC1","NTRK2, NR4A2, NRP1, SEMA3A",NA,NA,NA,NA,NA,NA,NA,0.00588656317925116,"A only"
"6","GO:0001765","membrane raft assembly",8.81949317738791,1,0.005,0.0206544994773325,0.0206544994773325,"S100A10","",NA,NA,NA,NA,NA,NA,NA,0.0206544994773325,"A only"
"7","GO:0001774","microglial cell activation",NA,NA,NA,NA,NA,NA,NA,4.35876685934489,6,0.005,0.0113841260238298,0.0121735198776563,"APP","MAPT",0.0113841260238298,"B only"
"8","GO:0001837","epithelial to mesenchymal transition",2.0998793279495,2,0.005,0.00738634400093366,0.00738634400093366,"TGFBR1, TGFBR3","",NA,NA,NA,NA,NA,NA,NA,0.00738634400093366,"A only"
"9","GO:0001933","negative regulation of protein phosphorylation",NA,NA,NA,NA,NA,NA,NA,3.47773951543476,4,0.00505102040816327,0.0221021861691293,0.0253260642104667,"FBLN1, SLIT2, PID1","CHP1, CORO1C",0.0221021861691293,"B only"
"10","GO:0001934","positive regulation of protein phosphorylation",3.17501754385965,7,0.005,0.0088553701556892,0.0111688932678003,"APP, LIMCH1, WDFY2","ACVR2A, ANGPT1, C3, CCND3, INSR, NTRK2",NA,NA,NA,NA,NA,NA,NA,0.0088553701556892,"A only"
"11","GO:0001954","positive regulation of cell-matrix adhesion",6.61461988304093,1,0.005,0.0366937049009256,0.0366937049009256,"CDK6, UTRN, PLEKHA2","",NA,NA,NA,NA,NA,NA,NA,0.0366937049009256,"A only"
