"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","Cluster","Status"
"GO:1902894","negative regulation of miRNA transcription",5.68534807740638,10,0.0126020408163265,7.8419849684865e-08,0.000735958116837426,"NCOR2","PPARA, PPARG, TWIST1",2,"Representative"
"GO:0045821","positive regulation of glycolytic process",11.6752683732453,9,0.01,5.7519433152538e-07,5.7519433152538e-07,"APP, ZBTB20","INSR, SLC4A4, MLXIPL",3,"Representative"
"GO:0032869","cellular response to insulin stimulus",6.53815028901734,10,0.0275,6.8820222705281e-07,6.43159787839348e-05,"","AKT2, FOXO1, GPLD1, INSR, PCK1, PDE3B, PPARG, IRS2, ADIPOQ, SORBS1, SLC25A33",4,"Representative"
"GO:2000811","negative regulation of anoikis",12.2590317919075,10,0.0303061224489796,1.93588892563665e-06,0.000153073126303158,"PTK2","BCL2, CAV1, ITGB1, PDK4, TLE1",5,"Representative"
"GO:1901016","regulation of potassium ion transmembrane transporter activity",16.3453757225434,10,0.025,2.82686875114666e-05,0.000130689672041992,"","FHL1, WWP2, NEDD4L",6,"Representative"
"GO:0006468","protein phosphorylation",2.10908073839269,10,0.005,3.23196584837201e-05,4.64479969004772e-05,"APP, CAMK2D, PRKG1, DCLK1, AKT3","INSR, IRAK2, LIPE, PRKCH, PKN2, MAPK10, STK38L, SIK2, DAPK2, SGK3, HIPK2, SNRK, FNIP2",7,"Representative"
"GO:0003254","regulation of membrane depolarization",19.614450867052,10,0.02,0.000107069243616461,0.0341390698984277,"CAMK2D","FHL1, NEDD4L",10,"Representative"
"GO:0045444","fat cell differentiation",5.20080136626379,10,0.005,0.000167367207398535,0.000184906186349647,"NR4A1, ZFPM2, PID1","AKT2, FOXO1, TCF7L2, TMEM120B",11,"Representative"
"GO:0032332","positive regulation of chondrocyte differentiation",8.91565948502365,10,0.00505102040816327,0.000200422297245264,0.00191987091086432,"","SOX5, ZBTB16, SOX6",12,"Representative"
"GO:0071456","cellular response to hypoxia",4.79464354527938,10,0.0125,0.000312341614568933,0.0209476566598392,"KCND2, LMNA, RORA","AK4, BNIP3L, PPARG, TWIST1, ACAA2, HIPK2, HILPDA, MALAT1",13,"Representative"
"GO:0042593","glucose homeostasis",4.52641173855047,9,0.01,0.0003807024030513,0.0003807024030513,"","INSR, PCK1, PDK4, PPARG, PYGL, TCF7L2, ADIPOQ, MLXIPL, ADIPOR2",14,"Representative"
"GO:1903038","negative regulation of leukocyte cell-cell adhesion",16.3453757225434,10,0.01,0.00212397848928928,0.014833310947354,"","ASS1, PPARA, MIA3",21,"Representative"
"GO:0048255","mRNA stabilization",3.44113173106176,10,0.01,0.00264869563193337,0.00446234166198726,"","THRAP3, LARP1",23,"Representative"
"GO:1990000","amyloid fibril formation",5.23052023121387,10,0.00761780104712042,0.00277566232637069,0.0177864944498046,"APP, GSN","CD36, MAPT",24,"Representative"
"GO:0045599","negative regulation of fat cell differentiation",6.93440182168506,10,0.0151530612244898,0.00308965538635577,0.0193899816195251,"RUNX1T1, RORA","FOXO1, TRIO, ADIPOQ, YAP1, FERMT2",25,"Representative"
"GO:0048846","axon extension involved in axon guidance",12.2590317919075,9,0.005,0.00475908290245708,0.0054353917958251,"SLIT3, SLIT2","SEMA3A",27,"Representative"
"GO:0006909","phagocytosis",4.6701073492981,10,0.01,0.0066022728109497,0.0342527265832739,"LRP1","ANXA1, ITGB1, CORO1C",28,"Representative"
"GO:0097746","blood vessel diameter maintenance",10.8969171483622,10,0.005,0.00885964926499862,0.010855766535157,"","ADCY6, GCLC, ITGB1BP1",30,"Representative"
"GO:0043403","skeletal muscle tissue regeneration",21.7938342967245,9,0.005,0.0241075670898316,0.025524906235646,"PPP3CA","CFLAR",40,"Representative"
