"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MEG3",2.10447176755983e-307,1.83492066846453,0.657,0.056,6.51481325083495e-303
"LSP1",2.95504575188857e-248,1.08969066151144,0.43,0.022,9.14793513412144e-244
"ITGA11",1.06378835459074e-208,1.16454968415311,0.416,0.029,3.29316960930656e-204
"DCLK1",4.16011723362155e-201,1.96112376762668,0.789,0.178,1.28784749201222e-196
"FBLN1",1.2667443899721e-184,1.8969381311838,0.749,0.169,3.92146060803662e-180
"LPAR1",1.00653739969806e-183,1.3213980524383,0.668,0.115,3.11593782824528e-179
"SCARA5",1.04142578221582e-176,1.17543100238911,0.419,0.038,3.22394179400552e-172
"PDGFRA",1.55491455423831e-174,1.2937320635726,0.53,0.071,4.81354898555552e-170
"GAS7",5.38056644494205e-172,1.87216714271597,0.692,0.145,1.66566195436071e-167
"KAZN",1.93530258596096e-168,2.34700149035179,0.959,0.523,5.99111621535934e-164
"TNXB",3.99219456133723e-166,1.94167622344606,0.841,0.26,1.23586367035317e-161
"UST",4.9127844324695e-164,1.32484223572885,0.584,0.098,1.52085067675958e-159
"BOC",2.02838235629775e-156,1.28012304836243,0.605,0.111,6.27926326039093e-152
"MEG8",3.08651181907298e-154,1.54583783298903,0.549,0.091,9.55491463830422e-150
"MRC2",3.82759766099297e-146,1.12377868999216,0.5,0.076,1.18490940791359e-141
"ABCA9",1.25106514779995e-140,1.90529315301695,0.905,0.435,3.8729223780443e-136
"BICC1",7.43903748438229e-140,1.47956582730677,0.743,0.21,2.30290283404023e-135
"NEGR1",5.07492798219497e-139,1.9194227954823,0.919,0.441,1.5710454554481e-134
"GRK5",5.50316426864486e-136,1.70881935353467,0.584,0.122,1.70361456264439e-131
"TRERF1",1.62455106635859e-133,1.11514350734135,0.497,0.083,5.02912273612629e-129
"HTRA3",8.78831102062706e-130,0.721864520631877,0.319,0.029,2.72059744265552e-125
"STARD9",4.86191630951527e-129,1.05612798917747,0.578,0.117,1.50510343193664e-124
"CACNA1C",2.00510300272789e-128,0.962858553081015,0.446,0.067,6.20719736554473e-124
"ADAM19",7.49310587592085e-121,0.696603991793749,0.343,0.038,2.31964078600882e-116
"KIAA1755",1.88027461882002e-118,0.743131711469278,0.305,0.03,5.82076613748114e-114
"ABCA10",2.32245639758426e-118,1.8372376787088,0.9,0.556,7.1896282700016e-114
"PTGIS",3.0048994293436e-117,1.3792554387936,0.532,0.111,9.30226716341899e-113
"GLI2",6.08163093200406e-117,0.730545433267024,0.322,0.035,1.8826904876205e-112
"CD34",2.56097950531947e-116,0.757419422454895,0.349,0.042,7.92802425461748e-112
"PRRX1",2.38250043393829e-115,0.903091899637699,0.432,0.069,7.37550659334276e-111
"RIPOR3",1.55487755940357e-114,0.77361429675777,0.373,0.05,4.81343446064563e-110
"CACNA2D3",1.48771093060277e-111,0.921387148097611,0.395,0.059,4.605506727867e-107
"LAMA2",1.03307039852423e-110,1.74767367159639,0.886,0.48,3.19807603271145e-106
"ADAMTSL3",1.3812049966203e-110,1.27029999320452,0.535,0.119,4.27579630803745e-106
"COL1A2",5.33801364135758e-107,1.17447740694157,0.586,0.147,1.65248888295507e-102
"PRICKLE1",1.8467805339989e-105,1.44377334248992,0.603,0.166,5.71707849910039e-101
"C3",1.7566776848953e-103,1.56065475117183,0.759,0.283,5.43814710913039e-99
"FBLN5",1.02384838523967e-101,0.837004372172399,0.443,0.083,3.16952744618644e-97
"GFPT2",7.49216049898159e-101,1.13700751897946,0.454,0.092,2.31934812566973e-96
"SMOC2",8.26468345117719e-101,1.00506992566803,0.362,0.055,2.55849805598092e-96
"PRKG1",4.05911904490166e-99,1.41186458315698,0.862,0.441,1.25658148273021e-94
"KLHL13",4.80031878298047e-99,0.852585766932167,0.341,0.049,1.48603468564727e-94
"ABCA6",3.47591416918108e-97,1.35974491566414,0.886,0.503,1.07603874935339e-92
"PID1",2.74049156853949e-95,1.48876502163337,0.811,0.37,8.4837397487277e-91
"ABI3BP",4.02548990989945e-95,1.17600791747679,0.638,0.197,1.24617091140757e-90
"DOCK4",6.85054375036164e-94,1.47180153448155,0.781,0.34,2.12072282879945e-89
"PODN",1.99234557086064e-89,0.698365361165932,0.37,0.064,6.16770418371328e-85
"COL1A1",7.44648975090199e-87,0.651716402305336,0.33,0.051,2.30520983218673e-82
"NR4A1",1.89224953597405e-86,1.19669181454397,0.649,0.216,5.85783688851487e-82
"PAPPA",6.52689298278472e-86,0.761201975952297,0.4,0.079,2.02053026068067e-81
"DCN",8.6834763500381e-86,1.25090657437718,0.665,0.237,2.6881437736813e-81
"ELN",1.02973598865896e-85,1.09054766178455,0.522,0.137,3.18775370009153e-81
"FGD5",1.95272698678316e-84,0.687369902117606,0.365,0.065,6.04505693298464e-80
"CNTN4",2.60167574015257e-84,1.40278286673821,0.422,0.096,8.05400758879031e-80
"TPST1",1.42595900062784e-83,1.03758313777138,0.57,0.172,4.4143412782436e-79
"AXL",2.20057436022416e-83,0.929981092610642,0.47,0.111,6.81231804694594e-79
"FRMD6",1.48760086561158e-81,0.869384977433428,0.422,0.092,4.60516599967377e-77
"PDE10A",1.47307445132746e-79,1.32824995265995,0.454,0.116,4.56019657897443e-75
"MMP2",2.27241440305273e-79,0.629422400607912,0.324,0.055,7.03471326753035e-75
"TSHZ2",7.5487534355533e-77,1.03873941149379,0.973,0.899,2.33686760104423e-72
"SLCO3A1",1.30996198933789e-75,0.899680712643816,0.543,0.161,4.0552493303933e-71
"CPT1A",1.9910881967184e-74,0.707200847603649,0.405,0.09,6.16381173058114e-70
"LRFN5",3.46720752971037e-74,0.695659604984075,0.397,0.086,1.07334343497244e-69
"COL6A3",4.41506305496686e-74,1.07568057564646,0.641,0.238,1.36677106992609e-69
"DNM1",1.04084818308526e-72,0.861908498804708,0.486,0.135,3.22215372037703e-68
"DPYSL3",1.48243664433075e-72,0.816048674202603,0.408,0.096,4.58917911985471e-68
"MFAP5",1.6427706551993e-69,0.875538560882454,0.332,0.066,5.08552511730047e-65
"CD44",1.54649289582132e-68,0.702035318754653,0.403,0.096,4.78747805759405e-64
"ST5",1.85157776444879e-68,0.548054767534911,0.322,0.061,5.73192928540413e-64
"CREB5",2.8515853213167e-68,1.30013617394479,0.473,0.142,8.82765267920009e-64
